#{"t_start": 1734883033.8123646, "env_id": "Walker2d-v4"}
r,l,t
31.548941,36,2.038469
1076.639722,362,3.408682
1088.325465,372,5.019444
68.608184,70,5.35373
344.040417,182,6.196115
710.141676,294,7.517382
900.865674,325,8.53468
888.577901,385,9.762773
34.484798,40,9.884584
359.320137,198,10.520372
343.949359,183,11.112727
1307.012015,515,12.817072
1288.51676,451,14.286849
1038.49099,399,15.56194
1427.13701,547,17.263317
834.966996,375,18.86816
1158.338545,447,20.873533
929.64353,379,22.451277
634.655072,273,23.356493
733.461449,273,24.233049
724.282723,264,26.201395
857.96174,299,27.166248
8.509348,19,27.227745
9.304871,19,27.290461
636.423531,272,28.146777
621.508549,254,28.980488
8.614175,19,29.042467
886.860349,330,30.077461
304.14697,171,30.608438
464.477063,244,31.380562
836.875337,311,32.612279
1015.687142,343,34.150247
617.686675,278,35.428172
589.924315,253,36.62395
32.302978,39,36.771398
8.461482,20,36.841756
288.327394,164,37.361384
719.233497,278,38.255322
64.058011,61,38.454403
9.737048,21,38.52178
862.330213,317,39.546526
600.580115,252,40.349671
488.232379,208,41.011553
422.867398,213,41.673698
18.216151,27,41.76273
402.792961,200,42.399984
396.90296,176,42.96923
334.167819,154,43.496103
345.490093,162,44.019071
629.31131,247,44.841676
557.141868,226,45.557058
705.603479,298,46.487318
597.738218,241,47.491134
662.934357,264,50.39231
56.275178,56,50.689084
697.675345,265,51.602559
660.560314,248,52.424727
1052.692905,353,53.591584
1080.151559,368,54.798604
819.319893,336,55.902818
1411.200954,495,57.466261
624.208637,312,58.445404
971.694324,377,59.678427
317.795417,187,60.285192
309.549944,182,60.848313
287.318059,175,61.60374
1660.075519,637,64.552306
523.262733,246,65.730467
485.126429,213,66.394298
567.5105,247,67.168911
788.223019,330,68.220258
993.975965,360,69.347403
894.763397,387,70.544751
624.410702,262,72.803157
318.261806,183,73.415086
1212.744889,409,74.802443
819.516733,317,75.805922
858.491273,340,77.268655
737.215111,309,78.617016
916.378911,355,80.164687
790.837444,317,81.155718
610.16862,281,82.042605
795.08848,331,83.130045
591.226986,253,83.935217
8.662245,20,84.007609
811.226466,283,84.909763
561.287002,234,85.660161
352.155933,187,86.248264
709.792657,262,87.066509
652.824918,285,87.932987
1017.767452,349,89.027859
1169.843401,410,90.554066
906.222913,375,92.180617
883.826454,364,93.914119
967.244036,366,96.949263
812.363671,317,97.949937
803.701776,331,98.975452
921.877859,360,100.089622
859.563523,348,101.168417
1021.632875,356,102.288258
10.696301,21,102.351312
342.412459,174,102.89338
7.565644,18,102.951735
124.035458,186,103.543595
10.235428,20,103.607408
9.21092,19,103.67584
709.300255,331,104.845826
523.945928,268,106.052233
327.541962,192,106.88482
1482.557679,558,109.33639
1207.574779,493,110.8697
9.223496,19,110.940311
1694.387816,704,113.176157
7.094711,19,113.232515
302.961919,194,113.832415
295.733957,185,114.418818
256.998474,155,114.919003
-1.027318,11,114.955493
1070.807609,383,116.204797
8.362043,20,116.268908
12.504127,22,116.332855
26.451217,35,116.438048
270.487422,173,116.974391
5.271989,50,117.14694
10.160751,31,117.246095
3.292944,27,117.332399
-2.680826,80,117.581266
3.875148,27,117.666237
40.742106,54,117.831712
14.464048,64,118.377583
817.262264,309,119.45735
53.142607,103,119.890286
18.134896,37,120.038501
295.675899,175,120.790552
290.440388,165,121.485738
10.928339,20,121.56971
307.579862,174,122.377984
11.144096,20,122.465466
10.837466,20,122.554818
12.457916,21,122.642428
272.375806,168,123.426246
9.965021,20,123.524792
10.207012,20,123.623323
7.59917,20,123.717514
259.116132,151,124.195865
314.263663,164,124.73931
10.092271,20,124.805526
7.956306,21,124.868547
10.797859,21,124.936911
330.347055,175,125.524076
295.92788,157,126.040735
997.87583,393,127.303545
606.609773,229,128.026627
602.129495,251,128.813264
650.660454,268,129.648363
627.409438,257,130.4403
324.430999,175,130.995275
321.961933,170,131.51768
919.04427,341,132.581376
650.376831,256,133.381571
12.977047,23,133.449404
1047.272828,384,135.055754
1101.193835,379,136.716663
934.415058,298,138.092085
663.742394,249,138.973927
634.31021,259,139.801269
1062.933741,382,142.996733
104.0978,175,143.597548
136.906414,201,144.25552
935.120762,410,145.562721
450.736436,274,146.454599
82.33045,151,146.952193
1200.736689,503,148.713414
1125.449428,416,150.61887
899.83987,375,152.322371
1077.938424,408,153.899204
416.752993,240,154.668389
721.500911,295,155.571363
619.527366,252,156.404212
349.904093,186,157.017597
1005.690835,344,158.140684
625.089426,245,158.922865
852.397273,336,159.986924
323.66056,190,160.58563
906.716055,341,161.677252
297.994114,161,162.192273
11.975917,22,162.263331
657.2829,261,163.073935
8.097213,79,163.40724
-6.842003,61,163.655929
-18.242234,59,163.902036
329.67999,187,164.71787
329.980719,184,166.957989
1065.646584,420,168.495366
980.889555,378,169.705036
602.163153,294,170.6417
