#{"t_start": 1734868395.597932, "env_id": "Walker2d-v4"}
r,l,t
3.742252,24,3.696194
2.70267,12,4.671651
5.463048,25,7.027535
-0.377735,14,7.971981
5.882359,42,10.744493
-3.27494,12,11.39843
1.216481,12,12.070148
2.845705,21,13.235801
11.51176,30,15.266054
-1.973271,17,16.231333
4.444225,28,18.10117
4.884404,20,20.484846
-0.883968,11,21.265716
-5.548597,14,22.047726
-0.610474,19,23.100997
6.876086,23,24.360549
21.730747,51,27.546672
-1.139834,18,28.568873
-7.980867,19,29.625943
-9.989658,11,30.638488
-3.0026,16,32.016654
-0.553986,25,34.386327
-6.423598,15,35.221726
-6.077705,11,35.839023
-3.330381,14,36.966923
-0.087014,48,472.000714
0.167549,23,473.298057
0.010879,10,474.601471
-1.056026,16,475.500242
1.102563,19,476.551121
-0.966269,13,477.261318
-2.846944,11,477.908897
-2.687083,12,478.998385
-0.295233,21,481.683291
0.293934,17,482.634449
2.87369,13,483.387509
-0.353001,11,484.002312
8.292284,39,487.016025
6.158324,22,488.313652
1.495776,32,490.183081
3.714028,22,492.632193
-8.89838,31,495.269543
7.513107,19,496.469872
-1.975756,14,497.270562
-1.564532,15,498.165181
13.498733,24,500.323387
-1.870617,11,500.978937
17.788646,24,502.363466
5.357986,17,503.304504
-5.922447,22,505.737185
16.305628,50,940.903629
2.074854,14,942.006725
14.699893,37,944.901331
14.273948,41,947.216564
-3.459393,8,947.655521
10.400146,31,950.098725
0.166467,14,950.887465
-1.443334,18,952.168192
-3.183294,10,953.041518
17.871226,37,956.561304
-1.162933,19,957.616028
2.624908,23,958.871861
7.375738,20,960.68302
3.672184,25,962.039176
27.57395,50,964.780907
-3.647166,10,966.424047
1.901239,18,968.138322
-2.479601,12,968.933022
5.270547,25,970.308754
1.94199,28,972.627305
-10.997834,18,973.630319
15.896949,37,1405.857937
1.561672,14,1406.631418
-0.806886,21,1408.505588
1.527949,24,1409.807487
-1.508049,9,1410.499076
-1.9891,8,1411.25509
-0.669626,22,1413.310443
4.966208,16,1415.072843
11.301788,23,1416.388764
4.847049,19,1417.426066
7.381291,25,1418.779379
-0.05808,38,1421.597054
7.588201,30,1423.230921
14.78177,31,1426.93302
21.479222,43,1429.379131
11.666756,22,1430.607824
5.808369,32,1433.125266
-3.308591,13,1433.839707
-1.938724,11,1434.461837
5.630114,19,1435.50572
7.78108,16,1436.387783
-2.245479,23,1439.247816
5.359273,15,1440.664664
10.690764,27,1871.825998
23.150814,59,1875.883124
9.247531,38,1878.01151
27.569832,103,1886.451095
137.230902,123,1894.064088
10.379924,34,1897.876507
11.784637,26,1899.317281
16.436627,38,1901.375905
7.120214,25,1903.488994
3.981028,24,1904.810204
