#{"t_start": 1734868395.3007858, "env_id": "Walker2d-v4"}
r,l,t
1.126137,13,3.340488
-2.125229,21,4.772568
3.115776,29,7.489966
2.080368,13,8.34402
7.623369,25,10.128943
-0.570194,14,10.919177
-11.052901,17,11.856059
-0.447105,22,13.079677
-0.839902,14,14.193815
1.147922,17,15.154758
0.891587,11,15.77777
1.113338,24,17.149583
-0.564513,20,18.645998
-0.728012,12,20.270928
-6.436595,15,21.495311
-1.563665,22,22.713205
-5.929406,22,23.92452
-3.170964,16,24.807618
7.740845,24,26.483112
1.431686,27,27.993909
-4.603811,16,28.905915
9.082092,36,31.475572
-3.117712,12,32.553671
-3.513293,14,33.924039
4.53921,29,35.850682
-7.11452,15,37.019525
6.804747,22,470.568388
1.831464,45,473.14391
7.986932,22,475.117521
0.465694,18,476.126461
5.088798,14,476.887981
2.939168,20,477.994863
0.12742,51,482.806603
3.710538,13,483.558504
-4.874548,23,484.870198
0.450552,14,485.719361
2.452701,17,487.414916
3.712413,15,488.289535
7.914488,24,489.703765
-0.150501,18,490.808003
2.500607,12,491.515881
3.359751,14,493.836953
-2.322755,12,494.972057
-3.900039,14,495.815274
4.483216,17,496.868502
-1.137429,15,497.742669
-3.357998,22,499.789162
-5.996284,19,500.909436
2.127428,18,501.974814
5.098907,25,503.368723
-2.490409,18,505.287978
-3.034908,10,506.185437
6.802571,18,938.433852
0.107881,20,940.208925
2.283726,14,941.556614
1.990196,20,943.603307
-5.38083,21,944.838516
3.762131,18,945.852374
2.775131,15,946.697741
27.086347,61,950.830883
4.541183,13,951.560631
1.024277,17,952.977685
-0.007924,12,954.063155
8.513017,21,956.390778
14.745095,33,958.217569
1.762321,20,959.316625
-3.598894,14,960.797158
19.89945,59,964.027531
0.596187,28,966.590437
11.624507,27,969.000785
15.969306,45,971.500318
12.357094,43,974.630622
4.606077,32,1406.573576
2.261626,13,1407.293549
15.590211,31,1409.699832
0.333477,12,1410.361463
-0.909883,14,1411.697298
2.958467,18,1413.396157
5.103255,17,1415.300827
13.286696,35,1417.281223
12.213449,27,1418.741839
41.37616,58,1422.640482
7.569705,20,1423.727918
3.131935,20,1426.524053
8.184312,22,1428.122314
12.131639,41,1430.373732
14.357027,33,1432.977697
6.041704,42,1435.288861
21.826704,42,1438.951879
21.165651,41,1871.726865
137.97249,111,1879.413706
20.125476,62,1884.093106
19.391009,40,1887.057714
9.412363,61,1890.406909
17.839044,71,1895.682877
15.84081,28,1898.673592
1.058939,15,1899.482343
-0.799863,21,1900.628107
-0.01966,12,1901.272478
45.066771,60,1905.323025
