#{"t_start": 1734868395.4729197, "env_id": "Walker2d-v4"}
r,l,t
-2.595205,19,3.534229
-8.395995,9,4.044528
4.83649,17,5.580567
-1.04991,14,6.9402
-2.190215,22,8.48279
7.836288,30,10.506792
-7.719945,13,11.246922
2.224197,13,11.972937
1.006595,16,12.861246
5.632383,17,14.146969
-3.911658,17,15.101571
9.525893,30,16.818202
0.419005,20,18.217184
2.445852,17,20.308405
0.858702,15,21.44061
1.293922,13,22.166899
-8.865653,15,22.985379
-1.416519,11,23.598466
4.422665,17,24.533477
-2.432299,13,25.587591
0.795216,12,26.262504
3.09674,14,27.04283
-5.090142,16,27.935955
2.101406,23,29.247215
2.510927,18,30.640702
4.377767,15,31.867184
-4.449747,15,33.277805
4.084695,19,34.842021
0.505301,14,35.631624
-1.608879,11,36.232358
-0.172325,19,469.963325
-0.248663,10,470.51074
-3.459209,18,471.521468
5.829534,26,473.033578
3.837544,18,474.785931
12.75657,39,476.948421
8.35255,24,478.48953
-3.121757,11,479.491416
-3.648001,11,481.473972
-2.488725,26,482.930587
-0.70947,15,483.781908
5.422667,24,485.193997
2.390205,19,487.011435
2.864212,17,488.012248
-3.510813,15,488.894593
1.849189,33,490.872339
-2.101972,22,493.678049
-1.898859,16,495.032819
1.410053,20,496.273293
-2.627667,12,496.984879
2.491966,15,497.86586
-1.07263,18,499.682451
0.686925,12,500.384614
-3.105745,11,501.034158
-0.146174,25,502.480393
12.554321,26,504.668725
2.222072,13,505.851992
4.446377,24,938.599595
2.325637,27,941.111208
5.331832,51,945.074617
8.745221,18,946.082164
4.742229,31,947.827784
20.352633,40,950.77873
-8.965213,14,951.580604
-3.187285,14,952.816924
2.10906,27,955.891909
2.372717,15,956.737502
44.457037,63,960.910667
2.43934,28,962.442453
0.733443,16,963.303927
-0.545654,15,964.132634
-1.05551,26,966.735083
14.64874,51,970.319058
21.711982,49,973.81554
3.924854,15,974.630059
16.344661,31,1406.514474
9.414004,23,1408.500905
-1.579304,15,1409.324806
1.659827,11,1409.92599
20.526243,35,1413.052852
1.141671,13,1414.783495
26.275861,39,1417.009586
63.904723,76,1421.872887
1.834244,22,1423.081775
10.295845,37,1427.147722
4.130328,20,1428.296028
-1.603513,22,1429.49793
19.342518,38,1432.353153
19.895183,44,1434.801684
9.991915,23,1436.057316
3.01216,26,1438.883747
20.75368,41,1871.620592
14.916503,33,1874.216644
8.635507,24,1875.552341
23.00395,59,1879.57743
1.708144,20,1880.668907
38.39713,55,1885.001885
41.749768,53,1888.643731
24.841166,40,1891.593471
-4.015295,11,1892.216843
20.73472,47,1895.336954
22.526896,34,1898.726779
0.08146,12,1899.383826
2.295205,28,1900.895161
