#{"t_start": 1734868395.808608, "env_id": "Walker2d-v4"}
r,l,t
-1.051725,10,2.692559
6.592465,27,4.565512
-5.232971,26,7.021326
-3.539838,11,7.71403
-2.876753,12,8.801921
0.2637,15,9.643162
-4.77895,9,10.13195
3.289428,13,10.872177
-4.427044,20,11.976881
-1.311004,9,12.485635
5.499496,34,14.724959
-3.223386,15,15.580761
1.247525,14,16.373256
-4.293638,8,16.830928
-0.944987,12,17.727456
-6.500667,13,18.912378
-2.453391,13,20.657332
-5.640283,16,21.5612
-4.851451,14,22.337581
-8.353562,22,23.546179
0.400431,11,24.158969
5.204484,31,26.226815
-4.202069,20,27.345017
-2.629103,27,28.862125
-2.456221,17,30.174806
-1.080387,30,32.777452
-2.026639,9,33.635554
-0.870414,21,35.019701
-0.839887,13,35.749041
0.042388,9,36.59369
0.390343,22,470.13599
-3.083206,26,471.62008
5.148046,24,472.987143
-0.837878,16,474.632981
0.715011,18,475.640843
-0.300858,10,476.184564
4.159639,18,477.16448
-2.688315,8,477.618339
0.919826,20,479.470406
1.081526,16,481.593271
-0.902862,14,482.377465
18.995221,39,484.633242
-8.702785,17,486.34497
6.934056,22,487.633734
-3.566226,7,488.052634
-2.947881,21,489.280643
6.425441,28,490.973412
-5.339457,18,493.652581
11.362394,30,495.783562
9.132723,19,496.886569
-0.108073,48,500.482414
-0.967142,11,501.134147
1.71587,23,502.448087
16.205986,34,505.540398
4.67293,19,937.892162
-1.647503,23,939.929947
0.314658,17,941.52331
-0.690304,18,943.294177
-1.193227,13,944.069549
-1.640447,23,945.366506
82.620908,99,951.871612
4.106066,27,955.191254
2.318083,13,955.905279
-0.065584,10,956.470344
22.846627,38,958.562829
2.538494,14,959.330889
1.107312,12,960.697094
1.292598,13,961.418206
-3.393522,23,962.661093
-0.353183,12,963.328173
9.418757,30,965.943262
0.943381,20,967.851953
4.181614,13,968.730972
15.779216,36,970.72347
3.162826,15,972.299944
1.270738,23,973.603175
7.133647,26,1405.218696
5.161568,20,1406.321201
4.03572,30,1408.679682
3.342439,16,1409.549342
0.054965,13,1410.618408
3.608575,30,1413.398503
0.097223,13,1414.870698
24.751081,82,1420.131516
2.127394,24,1421.447514
14.700367,26,1422.869062
-2.346087,13,1423.708324
3.547204,17,1426.361095
0.021005,17,1427.529155
-5.78657,41,1429.779746
1.828465,17,1430.729166
-0.035493,16,1432.383672
18.748618,35,1434.317991
13.017299,51,1438.482407
0.803817,12,1439.633462
19.611436,29,1871.244074
12.931758,39,1874.180815
2.569552,13,1874.90937
9.355276,22,1876.127417
8.554831,28,1877.703261
46.252411,62,1882.788243
21.138539,44,1886.305082
47.621345,70,1890.880902
41.879482,114,1899.221539
4.692339,21,1900.354293
10.577971,54,1904.0497
2.080071,14,1904.837537
8.012827,17,1905.807703
