#{"t_start": 1734868395.4517865, "env_id": "Walker2d-v4"}
r,l,t
-1.91315,32,4.446612
8.521784,25,6.765452
0.516757,16,7.99275
-4.966249,9,8.557673
-0.490153,27,10.417757
-2.369387,16,11.320792
-4.623158,12,11.99293
-1.856117,9,12.480968
-2.796144,23,14.109855
7.318123,32,15.922007
-8.504107,18,16.948184
-6.832967,16,18.058172
-0.858301,12,19.14928
8.545087,20,21.351325
2.326924,22,22.570152
2.534237,17,23.508927
1.80205,12,24.170182
4.199773,14,24.928267
1.847452,22,26.511938
-7.19455,13,27.239387
-0.530448,13,27.955788
4.329608,59,32.151564
-2.345438,25,34.524877
6.905145,18,35.538851
2.707135,35,470.148591
-3.524634,25,471.541272
1.92793,25,472.99948
-8.517989,19,474.805941
-6.255591,17,475.750161
4.200829,33,477.559709
-2.569564,20,479.133904
-2.384771,15,481.493947
16.71792,28,483.073685
-5.784792,22,484.315441
-1.135124,13,485.098156
9.955659,38,488.032164
1.101442,20,489.210983
14.510856,42,492.863696
-1.562372,10,493.886433
3.4744,40,496.666008
-3.928866,11,497.286538
2.31324,12,498.000299
-4.083561,24,500.169596
-1.888172,12,500.881628
8.106874,18,501.940959
-1.319396,11,502.557014
0.760523,24,503.919245
-0.91619,11,505.603585
-4.754299,16,507.131236
3.186577,23,939.698106
10.261642,25,941.976617
-1.855767,28,944.352278
-2.992965,13,945.094612
5.701782,23,946.384978
6.86093,17,947.355725
3.850452,15,948.888246
4.007637,17,949.836865
5.015718,35,951.870917
-4.266644,19,953.630198
-0.381632,11,955.53265
4.955966,20,956.645025
0.491169,14,957.425421
-6.567056,29,959.011231
1.307071,15,959.837893
-0.033058,13,961.257123
0.329669,21,962.408646
3.517051,22,963.614444
9.300568,37,966.852071
3.700555,29,969.178917
16.680331,38,971.292976
11.432452,25,973.437763
0.519528,14,974.215157
14.481809,46,1406.932176
15.858853,44,1410.054401
51.098841,86,1417.083423
1.133265,15,1417.887709
11.911463,48,1421.253045
7.752324,21,1422.388212
0.646139,13,1423.101835
18.777311,36,1427.066495
47.287423,77,1432.146422
3.664636,15,1432.992197
0.867731,14,1433.761806
3.020522,26,1435.195763
6.379303,26,1437.445642
2.482621,13,1438.615558
7.416416,24,1440.859189
5.081848,22,1871.750386
48.544986,59,1875.806961
27.212874,45,1878.314228
17.56493,32,1880.818547
-0.718255,9,1881.634311
-1.427757,11,1882.648901
7.611299,19,1884.250607
1.789133,14,1885.021871
15.204715,49,1888.452068
7.281629,22,1889.644907
84.758826,116,1898.853713
-0.90837,9,1899.338865
-2.492938,23,1900.588648
5.836502,28,1902.102348
7.259088,18,1903.846782
13.161696,20,1904.949401
3.96599,24,1906.311315
