#{"t_start": 1734868395.9684303, "env_id": "Walker2d-v4"}
r,l,t
-5.005003,12,2.64802
-4.633089,16,3.588448
-1.337614,13,4.756786
-2.407987,15,6.194667
-0.796269,9,7.056743
7.258842,21,8.650236
-6.296424,9,9.159366
-5.289458,24,10.501783
-0.657004,16,11.386805
-5.938683,14,12.154341
4.154447,17,13.104788
-5.674217,23,14.744518
0.259234,16,15.654384
9.375043,23,16.94739
-2.717279,10,17.847616
-6.762161,16,19.850779
6.891429,18,21.135459
4.156974,26,22.5812
-0.966116,20,23.676627
4.900214,36,26.019456
-3.229231,8,26.453519
18.061964,42,28.830737
-2.489587,8,29.27208
-0.631078,10,30.227102
-0.03542,29,32.819413
-1.436982,10,33.764321
2.863799,16,34.754044
-1.542694,13,35.485221
-2.990247,10,36.38558
15.950467,51,471.58915
6.759871,16,472.505481
-1.682549,10,473.051134
0.957486,16,474.697837
-0.838313,10,475.267557
6.094974,17,476.196175
22.845287,32,478.300296
-3.006161,23,481.218875
-0.492035,36,483.255041
0.308778,20,484.425132
-4.357374,21,486.365639
1.960815,16,487.308575
-4.096607,15,488.191286
4.111093,15,489.068871
-4.62979,23,490.4572
5.326012,33,494.336242
-10.864025,15,495.262547
-0.051502,13,496.055471
4.859202,22,497.335461
-5.006378,14,498.897325
3.334083,41,501.33727
2.778477,19,502.404977
-2.07005,10,502.950071
9.574351,33,506.46528
-4.552222,11,937.940068
-1.839635,23,940.077327
2.937955,14,941.371065
-0.53341,12,942.793945
15.85102,31,944.601623
-0.334746,21,945.7777
15.108429,32,948.280447
3.382231,34,950.197543
-4.169136,8,950.644981
1.488014,12,951.398357
0.182736,12,952.522713
1.531296,13,953.751362
9.80338,27,956.263193
4.840925,34,958.139852
1.422374,18,959.12548
0.992533,14,960.597731
21.544115,44,963.008454
7.835124,27,964.479429
11.369351,20,967.157208
-4.062023,8,967.887407
11.157968,31,969.678217
5.258707,16,970.571738
-1.171607,17,972.274211
-2.21588,23,973.558784
-1.216168,29,1405.337441
1.601249,12,1405.987417
28.611323,40,1408.902559
12.040724,22,1410.470368
9.670624,21,1412.407366
9.981724,42,1415.861299
14.013694,44,1418.264562
-3.248262,15,1419.815157
11.193984,37,1421.839038
8.164686,19,1422.876203
2.820096,33,1426.766579
12.971849,22,1427.986079
28.09471,43,1430.361273
16.171472,33,1432.944053
-1.73944,9,1433.4307
4.104459,25,1434.809769
11.641324,29,1437.429689
2.750613,21,1439.395451
-4.784052,9,1440.255013
11.351549,31,1871.633844
7.807349,34,1874.324925
3.946976,16,1875.201961
13.153176,38,1877.335015
5.006064,18,1879.050542
1.164276,18,1880.032791
11.477173,34,1883.008077
-1.09819,25,1885.303535
66.93038,87,1890.842727
7.715389,18,1891.854531
9.711107,20,1892.965231
5.438533,43,1897.343031
9.884795,20,1898.472456
1.174891,11,1899.069356
3.533783,14,1899.81441
34.119759,59,1903.787274
-2.134881,11,1904.400132
5.046739,23,1905.711133
