#{"t_start": 1734868395.249488, "env_id": "Walker2d-v4"}
r,l,t
-2.290142,10,3.226054
-3.910857,10,3.810352
-1.941397,18,5.173541
-1.331935,9,5.967963
-1.139486,23,8.017942
2.337416,17,9.392433
-0.266273,11,10.009908
3.162654,14,10.774594
11.52594,23,12.073791
-1.302096,18,13.074764
3.574802,15,14.242514
-4.19854,15,15.093737
3.115581,13,15.826401
-5.11681,21,17.030785
5.761519,15,17.964166
0.312129,17,19.525535
-0.087868,18,21.544166
0.570486,24,22.872308
-1.496409,9,23.378541
4.231982,22,24.580808
-0.934225,22,26.12734
-5.799434,10,26.704383
0.387128,27,28.203483
-0.088761,28,29.793823
11.20509,21,31.522744
1.893671,15,32.907125
-2.886705,11,33.971432
-4.06707,23,35.553822
-3.69357,9,36.061825
-0.410181,12,37.068032
5.026058,26,470.833072
1.570163,22,472.09794
4.373981,30,473.792844
7.428913,21,475.721102
-0.83128,15,476.557646
-3.611893,15,477.376293
-1.535098,13,478.098698
-1.934944,7,478.696442
-2.018833,51,483.322567
2.680378,13,484.052119
4.817808,16,484.988961
6.727301,17,485.997309
9.057908,27,488.281181
0.166857,17,489.276794
-4.404006,16,490.213743
-1.852366,8,490.739097
9.056593,19,492.95264
6.893719,17,494.665672
-1.92226,14,495.597596
-0.719749,12,496.374302
-1.083094,20,497.5435
-0.036943,13,498.308148
-8.689107,20,500.25021
-4.570501,9,500.77863
-1.483429,25,502.246684
9.356901,24,503.584849
-2.574929,10,504.881512
-2.725258,11,505.882241
0.780078,27,938.903221
-5.226773,22,940.945807
12.333593,33,944.006795
-6.628934,24,945.398379
5.115284,34,947.329004
7.940134,22,949.257813
4.788375,20,950.375291
8.461305,19,951.439323
11.80893,37,955.557943
27.389496,34,957.449244
2.623686,16,958.321057
-1.039051,13,959.043939
3.167311,25,961.123939
-0.905288,24,962.426535
3.275242,15,963.249731
4.405371,15,964.076456
14.784689,26,966.463487
-0.099993,14,967.817629
8.832043,25,969.592623
8.638557,28,971.149062
20.229689,35,973.854461
3.567587,23,1405.303602
23.69263,31,1407.016393
-7.3475,14,1408.498771
5.004774,32,1410.248209
33.810286,64,1416.018213
74.861006,86,1421.501772
6.596274,22,1422.689445
1.341018,11,1423.295335
0.769328,21,1424.764885
14.464668,37,1428.56572
13.516926,34,1430.422675
0.394526,12,1431.102276
1.024549,31,1433.566281
-4.455243,21,1434.735612
1.762442,17,1435.660654
12.006061,33,1438.707943
1.564774,15,1440.151396
41.209017,65,1874.542447
35.255574,70,1878.455143
9.647634,19,1880.234762
6.805073,27,1882.181358
3.896395,17,1883.764488
1.633793,10,1884.497031
-0.441403,10,1885.041086
8.127232,30,1887.439523
8.603752,33,1889.240726
23.208995,42,1892.322686
30.736076,53,1895.923983
3.532621,24,1898.610303
6.562414,24,1899.918133
16.826968,56,1903.714507
16.768516,46,1906.290077
