#{"t_start": 1734868395.9322665, "env_id": "Walker2d-v4"}
r,l,t
-12.515257,19,3.100182
1.19945,16,4.274359
-3.353991,21,6.227514
-1.534656,47,9.631819
-4.557594,13,10.370558
-1.211026,21,11.534006
1.846693,12,12.188797
-1.750504,17,13.138967
3.243147,14,14.271658
-2.368604,23,15.575491
-3.704302,33,17.704258
-3.156644,8,18.40605
3.228919,21,20.780715
-2.201936,13,21.49687
-5.309951,12,22.166069
-3.888528,13,22.888567
1.757697,22,24.095464
7.014237,19,25.479545
2.240601,15,26.327429
0.474066,14,27.115644
5.883471,30,28.808509
0.741422,12,29.470473
-6.034233,19,31.267205
4.990011,24,33.52119
2.140501,20,34.846565
-1.948583,20,35.959666
6.310281,37,470.6933
-2.857001,10,471.275615
-3.868816,23,472.593708
-2.073035,12,473.260148
-1.198806,11,474.622926
16.262147,44,477.046552
8.426955,22,478.779019
19.012672,40,482.492615
0.299999,13,483.236182
-1.658803,11,483.858013
-3.711803,14,484.698605
0.593875,25,486.874157
-2.374244,19,487.994436
-3.464824,34,490.029127
1.332955,17,491.125101
-7.295665,16,493.634418
-0.376142,14,494.706735
-2.645746,11,495.436885
16.358483,41,497.850374
5.289415,22,499.888763
0.603842,10,500.481596
4.469373,27,502.044294
13.148743,26,504.242195
3.586691,13,505.426078
-3.932601,9,506.295415
-0.814148,35,940.012378
-4.760795,13,941.281666
7.234113,20,943.176446
9.424525,36,945.249513
3.259725,15,946.09824
4.416967,22,947.33548
8.572944,20,949.160539
2.408856,13,949.887928
2.008469,29,951.759296
19.686337,45,956.071709
17.394557,34,957.953453
18.896626,37,960.686248
2.185192,16,961.56244
2.620938,13,962.275596
5.219149,18,963.262988
-5.511934,12,963.91151
2.055332,14,964.677919
4.27856,30,968.285409
5.718608,35,970.213699
-1.551563,25,972.366403
6.074559,24,973.701479
4.946154,16,1404.765297
4.293951,13,1405.483708
3.672658,20,1406.582615
45.328496,59,1411.112449
3.468971,20,1413.000668
15.324804,40,1416.127889
-3.709603,12,1416.786492
16.668474,46,1420.013395
1.143728,15,1420.848962
10.049758,40,1423.015629
3.424054,12,1423.955488
5.459739,22,1426.967261
9.332752,25,1428.344719
3.5881,26,1429.770661
-1.280326,25,1431.92345
28.882118,79,1437.195878
-2.676069,16,1438.648408
14.607654,38,1871.126406
19.726311,31,1873.608454
14.727611,29,1875.236224
3.891698,14,1876.009683
10.610235,32,1877.801406
3.766778,17,1879.477384
15.9016,40,1882.583782
-1.078428,10,1883.513532
2.581319,12,1884.174083
5.711923,19,1885.969635
28.914736,55,1888.965986
9.68161,22,1890.935173
36.513677,53,1894.124523
-6.857498,17,1895.671325
83.300711,75,1900.949222
8.975735,42,1903.985452
