#{"t_start": 1734868396.2088013, "env_id": "Walker2d-v4"}
r,l,t
-2.116967,11,2.365111
-2.483963,10,2.948817
-2.860128,12,3.84088
0.98269,18,5.469969
6.45184,22,7.273667
-1.35195,14,8.476908
-3.756462,13,9.207613
-6.676394,14,9.996628
-9.224227,22,11.214345
8.273468,21,12.373726
-5.973093,16,13.614771
-6.565936,15,14.458431
-1.778358,11,15.089877
-3.675475,11,15.702971
-1.855705,9,16.227809
-1.274492,16,17.3589
-8.173506,28,20.406811
-2.507898,22,21.628413
-2.576171,21,22.786502
1.704935,35,25.047571
-3.951918,20,26.170324
1.004666,15,27.017824
3.925785,15,27.876076
-1.245669,9,28.368298
2.306494,26,30.242233
0.305791,21,32.207336
-7.673014,19,33.920009
0.888653,25,35.30956
-4.814856,14,36.438117
-1.432332,15,469.593021
-5.606387,22,470.821506
-0.973595,11,471.474401
-5.109019,21,472.660395
19.77689,30,475.093879
1.248492,11,475.694453
1.072348,14,476.460533
6.499456,26,478.344327
-3.042161,20,480.989457
-2.00265,13,481.714742
-0.374925,16,482.635834
2.395994,28,484.252582
-2.743391,8,484.738068
-4.12159,11,486.080299
8.782748,38,488.30491
-5.722888,19,489.41287
1.45685,14,490.285664
2.724986,18,492.802927
0.714163,32,495.229519
-2.989537,12,495.944652
-0.914704,11,496.570451
0.745542,11,497.221715
-6.78167,16,498.924173
7.870439,25,500.403658
-2.544552,8,500.881752
15.877317,39,503.083909
15.823315,27,506.244749
-1.256481,12,937.82039
7.310577,42,941.481421
-6.867203,14,943.031029
56.969597,65,946.748049
12.00216,33,949.297304
1.817108,18,950.304746
5.298478,23,952.048745
1.92157,14,953.328444
1.074629,16,955.294534
3.869888,16,956.195216
-0.520119,28,957.74683
17.121575,34,960.3158
2.495046,16,961.194294
1.280746,13,961.906183
7.219157,21,963.053006
0.898067,26,965.402313
4.900457,23,967.572756
4.631491,19,968.736928
2.995642,15,969.560881
-3.203984,11,970.178063
1.675737,14,970.968325
3.145838,19,972.775206
13.489149,44,1405.387944
3.960248,31,1407.79802
13.110946,44,1410.768493
7.67705,20,1412.655134
11.430461,28,1415.102854
5.803157,20,1416.25245
5.390568,16,1417.111282
-6.977188,14,1417.873578
11.127047,53,1421.503015
19.997876,34,1423.612841
8.25986,29,1427.040471
5.839585,15,1427.866151
1.14305,20,1428.966675
0.705806,24,1430.291462
-1.099427,8,1431.483953
-1.243917,19,1432.541371
4.277559,14,1433.312968
2.682911,23,1434.581636
11.82977,42,1438.393485
15.915195,30,1440.734455
14.970652,33,1872.242873
3.337069,23,1874.309582
18.901193,36,1876.337624
1.906114,33,1878.874826
-0.603317,20,1879.968493
3.720922,13,1881.119075
16.687159,35,1883.909839
62.44452,89,1889.541928
17.263898,30,1891.955777
7.946701,19,1893.007872
6.991549,21,1894.753747
-1.281213,18,1897.180436
22.140328,33,1899.000575
4.519451,67,1903.393457
-2.60996,11,1904.006134
3.955568,13,1904.735298
