#{"t_start": 1734868396.0224612, "env_id": "Walker2d-v4"}
r,l,t
0.125813,14,2.706416
3.971614,15,3.637402
6.013142,19,5.356464
1.457142,15,6.826012
-4.03943,14,7.726567
0.233777,20,9.21706
-3.467246,11,9.817313
4.274355,18,10.828387
-2.995766,11,11.449723
-1.349071,8,11.880751
2.748011,16,12.775244
-4.150884,12,13.792502
-5.11159,11,14.410971
-2.132798,12,15.089941
-0.332169,14,15.879979
0.103136,16,16.788158
-4.061896,20,18.524699
2.277563,17,20.584866
-2.584754,11,21.193635
-5.229712,26,22.639799
-7.391357,10,23.180493
1.113306,12,23.842714
-0.728726,25,25.562707
-5.289472,23,26.858449
16.301694,41,29.166015
0.931698,14,30.345278
-5.67508,16,31.797065
0.349661,13,33.073788
-2.193018,8,33.809803
2.094311,15,34.702702
3.478685,14,35.487114
-3.243878,14,36.615165
3.320551,20,470.040525
5.39828,25,471.478564
-1.910447,9,472.006084
-3.72335,14,472.78327
-6.660922,14,474.318254
5.041658,26,475.762444
8.86633,16,476.637776
0.805663,11,477.238361
0.128534,10,478.071049
10.035013,32,481.560298
0.318215,22,482.811127
-9.403882,15,483.653266
-0.542008,42,486.84935
6.231362,36,488.957456
6.66091,19,490.121467
4.745501,15,492.053931
-0.021396,19,493.954983
-4.112716,10,494.620846
10.650577,33,496.626976
4.598025,19,497.765743
21.470631,37,500.699248
1.706493,14,501.509721
-7.374448,16,502.409025
-5.160096,8,502.846064
-6.568427,23,505.342878
17.289279,55,940.98595
-3.313468,14,941.921222
4.449809,25,944.091376
-2.459171,11,944.716702
0.679162,12,945.392865
11.604734,30,947.087863
1.142211,17,948.729974
4.558148,18,949.746829
-0.764142,13,950.481648
0.625775,11,951.114048
12.719482,36,955.152087
-0.054073,13,955.874336
15.932967,43,958.251056
6.647398,37,960.999164
1.047985,22,962.191227
4.622752,17,963.123952
1.226456,23,964.374823
-3.539621,16,966.614923
1.686778,31,968.914027
-0.66133,24,970.249223
0.952578,15,971.091927
7.020653,21,973.007796
4.259769,14,973.777967
-1.316157,9,1404.450126
10.39123,33,1406.278187
12.055136,32,1408.745941
33.035601,42,1412.069826
8.800314,37,1415.347004
-0.66621,13,1416.096111
4.477157,16,1416.964631
-3.43487,10,1417.517911
-10.314002,19,1418.548196
3.098093,13,1419.981516
4.295335,21,1421.138376
8.238191,22,1422.332567
37.331282,58,1427.598165
14.253315,55,1430.642299
13.890142,30,1433.054374
-3.375752,12,1433.708964
3.685239,23,1434.988621
18.740877,35,1438.284525
4.331204,27,1440.589336
-0.590106,19,1871.314021
17.769524,53,1875.039265
4.22163,19,1876.135128
8.208132,28,1877.66193
-1.548054,20,1879.496391
11.82205,31,1881.832367
45.198645,68,1886.969641
10.708498,30,1888.609027
1.732657,14,1889.384291
3.323251,16,1891.013257
2.652378,19,1892.078152
3.437996,16,1892.966105
28.011554,37,1896.070768
4.893178,23,1898.310449
-1.011836,11,1898.911467
6.87047,23,1900.150971
-2.718515,10,1900.688758
1.936877,26,1902.855224
8.311967,22,1904.074314
