#{"t_start": 1734868395.4474707, "env_id": "Walker2d-v4"}
r,l,t
5.108968,29,4.164364
-8.470435,16,5.603937
-4.420476,11,6.675408
6.704887,17,7.996763
-7.306851,23,9.711753
-5.864308,13,10.421781
3.374762,16,11.324824
-3.390777,18,12.321265
7.397234,19,13.378474
-4.584066,10,14.285951
-2.106878,18,15.298789
-2.474733,9,15.816028
-0.445931,27,17.33919
-2.878687,29,20.4265
1.98831,46,23.244213
0.237852,27,24.720018
-1.583432,17,25.996836
0.240823,9,26.515738
-0.55553,24,27.853539
-3.984721,18,28.877139
-1.178907,8,29.326552
-9.553887,16,30.601916
8.85082,38,33.970749
4.044886,21,35.364876
-2.12071,18,36.36656
-0.653615,15,37.568108
-1.318978,12,470.534781
-9.807892,26,472.025003
0.633133,17,473.003472
8.90572,33,475.589089
-3.981587,18,476.586028
5.515155,21,477.729267
4.650622,17,479.137575
13.802905,25,482.056057
1.984759,23,483.360178
2.875692,19,484.438108
-2.114223,26,486.688884
-1.599344,15,487.571402
-0.185863,16,488.514745
19.122475,47,491.316893
0.371179,17,493.890281
1.215181,24,495.677917
-0.55052,15,496.612872
-2.468291,14,497.413815
-2.91015,11,498.062176
3.65951,19,499.94224
-7.968646,15,500.826121
-0.94967,10,501.421459
-8.022955,19,502.50428
0.164252,13,503.228327
13.718248,33,506.533268
16.963973,35,940.264148
0.378893,16,941.812467
25.07854,42,944.988846
9.562722,23,946.27453
3.593752,33,948.833168
14.619827,26,950.296027
-0.255954,16,951.196781
8.322476,20,952.754087
28.686125,42,956.704243
-0.133677,15,957.538024
8.885502,26,958.96138
7.661341,19,960.716017
2.044872,18,961.709125
-5.46837,18,962.687418
-0.272778,9,963.164996
-4.315811,22,964.375185
7.091374,27,967.242488
1.090764,15,968.629696
3.61741,28,970.17483
-3.073388,11,970.796983
9.001011,18,972.492076
0.805375,13,973.277516
1.423818,30,1405.114503
1.701567,15,1405.945504
8.303758,34,1408.525056
5.561451,35,1410.635808
24.996553,38,1414.751838
3.133625,17,1415.718943
-1.702221,10,1416.30076
16.831949,30,1417.95345
-4.216154,11,1418.545035
3.661197,23,1420.529811
7.172301,26,1421.950679
2.733692,17,1422.882863
0.550694,15,1423.696478
7.958795,18,1426.388261
23.527139,60,1430.072013
4.191314,23,1432.089752
-2.356768,31,1433.819913
-0.036356,24,1435.14839
21.34729,39,1438.523463
26.093561,41,1441.735832
37.181038,57,1875.360974
3.037236,24,1876.738707
5.228766,40,1879.655937
42.039043,91,1886.703187
2.783741,23,1887.962023
25.12769,40,1890.159397
9.405467,56,1894.008495
18.122021,54,1899.023393
1.494459,12,1899.675319
2.752015,13,1900.369414
21.620548,39,1903.236039
12.709711,51,1906.100348
