#{"t_start": 1734868395.3484719, "env_id": "Walker2d-v4"}
r,l,t
-4.58947,7,2.968176
-3.725653,9,3.476253
1.893087,32,5.969288
10.627635,43,9.523553
19.973839,33,11.366003
-2.926082,12,12.033196
-4.400156,11,12.633275
0.706863,12,13.305718
0.617492,22,14.891323
-4.517038,13,15.616196
6.05988,28,17.215448
4.25524,29,20.125078
-2.220788,17,21.50408
4.287629,26,22.940205
1.798376,15,23.771213
-3.466715,10,24.323357
-0.945164,14,25.424507
-10.633198,21,26.60999
-3.00287,12,27.281393
-9.986098,19,28.358302
-0.029158,12,29.025612
4.391426,19,30.428458
0.660112,12,31.234645
0.475142,12,32.333182
3.224977,18,34.062271
3.770182,15,35.122987
1.642796,31,37.204308
-0.015227,12,470.191662
-0.770642,27,471.698113
-2.638246,14,472.533978
10.801425,35,475.235593
6.539441,31,476.961049
16.608684,34,479.315214
-10.155879,12,481.4787
1.974079,20,482.591839
-3.419435,31,484.35363
-0.943816,27,485.959321
1.341678,14,487.489602
-5.415996,21,488.726913
-2.986449,15,489.599943
20.506731,60,495.096787
0.534706,15,496.051238
-0.337849,26,497.56436
-0.325793,23,499.683529
2.675888,13,500.445181
-1.703345,13,501.215402
4.151527,19,502.318162
-2.022575,11,502.942364
-0.275222,26,505.335046
-0.928521,10,506.229844
10.599363,36,940.071287
10.311656,29,942.472593
-7.200102,15,944.118542
1.295128,25,945.526503
4.038515,18,946.539196
-2.326862,13,947.289179
1.318763,24,949.322025
0.444732,14,950.119021
1.42945,24,951.457281
1.751564,14,952.578228
3.800522,22,955.522772
9.728181,22,956.743619
13.050721,26,958.172459
1.537209,12,958.840185
2.735754,20,959.936559
7.665971,17,961.587855
-2.963068,17,962.506709
16.671224,46,965.019189
9.482911,27,968.279125
-2.832889,10,969.010669
6.387324,31,970.717325
1.864676,20,972.530774
13.172395,29,974.206247
0.992486,44,1406.815207
5.576281,20,1408.619911
3.752134,20,1409.712236
0.262304,10,1410.261651
5.355094,27,1412.786959
5.410964,21,1415.140403
-5.551687,8,1415.590681
4.038275,13,1416.336788
0.889814,17,1417.290679
0.501048,12,1417.934884
6.837978,22,1419.138734
6.493432,19,1420.906988
2.872778,14,1421.673922
2.424155,12,1422.326502
12.122758,31,1424.135479
0.900927,29,1427.693919
-7.577649,17,1428.633071
2.741646,12,1429.275542
-1.322069,22,1430.506241
-4.2164,19,1432.301623
8.230187,20,1433.417024
3.538809,24,1434.758341
0.169974,10,1435.295038
-5.169886,12,1435.95786
1.450123,13,1436.682703
1.723169,13,1438.615824
4.612294,24,1440.902846
0.171564,9,1441.394693
6.986778,23,1872.343387
11.347616,30,1874.803349
0.284424,26,1876.228967
21.318169,55,1880.035802
14.764723,47,1883.762849
0.971219,13,1884.622318
0.710568,13,1886.077475
11.434503,25,1887.45464
57.121496,79,1892.557216
40.375016,60,1897.874433
14.277284,44,1900.300998
3.48877,17,1901.227045
8.7698,25,1903.329048
22.268519,41,1905.611854
