#{"t_start": 1734868396.166547, "env_id": "Walker2d-v4"}
r,l,t
8.217555,21,2.988878
4.134712,14,4.057289
-0.218383,17,5.610184
1.530712,16,7.031947
-1.465552,25,8.852677
-4.167679,13,9.570524
0.436819,23,10.85592
-3.339748,14,11.635773
-4.648737,9,12.144574
-3.280386,11,12.74848
-4.323422,15,13.935968
-3.007252,20,15.071849
2.249275,24,16.435951
-0.987646,9,17.024347
1.581988,13,18.190608
23.246872,51,22.212878
-2.979034,9,22.716629
-0.416431,9,23.204071
4.937599,20,24.644574
11.92581,23,25.942357
3.256049,17,26.893253
5.288434,36,28.919016
-4.097259,9,29.774168
-6.423534,20,31.40092
1.889527,12,32.544777
1.966329,15,33.903811
-0.71532,19,34.969255
-1.293735,8,35.407602
-0.581491,13,36.47816
-0.094503,18,469.794176
3.172792,40,472.100052
-3.936428,16,472.971031
1.011059,26,475.189273
-0.508936,10,475.734672
0.07049,11,476.339363
-0.906605,26,478.117746
-3.972805,22,480.97543
-2.716274,13,481.699937
0.670977,36,483.753619
6.452035,17,484.77812
7.162309,18,486.531685
2.627257,19,487.653556
0.655248,13,488.401258
-6.008224,15,489.283224
4.896958,25,490.910772
-4.787473,11,492.943796
3.296692,29,495.150885
25.993448,43,497.687584
7.611762,23,499.780969
-2.886864,17,500.796929
3.286735,14,501.593744
18.813347,29,503.238904
-7.794802,21,505.879713
7.115459,29,939.033444
1.823183,19,940.856129
4.35321,18,942.719906
2.624687,24,944.134993
-2.599749,13,944.858188
13.761802,34,946.788307
22.873676,33,949.337519
0.552926,26,950.797511
0.210917,12,951.819894
9.818611,23,954.796541
2.927777,17,955.736924
0.925241,12,956.401233
2.60291,13,957.12494
4.3028,22,958.327634
18.098241,26,960.462889
-1.897636,10,961.021473
5.909893,27,962.476364
-2.532802,9,962.986137
-1.687376,10,963.526554
-2.468061,27,966.287182
3.091713,20,968.062195
3.614696,19,969.110708
0.00303,10,969.657161
2.428896,21,970.844599
2.174536,18,972.590673
10.805977,23,973.86052
27.354464,53,1407.677346
4.253569,24,1408.997614
-1.634469,12,1409.757447
19.40613,36,1413.110742
2.64025,11,1414.474259
7.244571,28,1416.066162
13.656711,41,1418.30239
-7.076456,15,1419.844085
-3.325184,11,1420.461968
8.852006,39,1422.580941
2.167304,13,1423.47229
2.114009,15,1425.935677
4.877091,17,1427.13468
4.301001,15,1427.958694
0.157192,11,1428.548573
7.310548,29,1430.17225
0.128868,25,1432.309095
-2.04129,13,1433.025093
4.016489,16,1433.921465
3.650779,18,1434.90813
3.243106,20,1436.885446
10.769191,34,1440.066505
1.536854,12,1440.721891
-1.188162,8,1441.165355
2.823477,14,1871.619972
11.007151,33,1874.244194
7.719988,29,1875.852351
10.742134,18,1876.860719
0.839835,23,1878.86128
-1.605815,9,1879.3591
6.548755,20,1880.705728
2.403329,13,1881.893701
6.047078,15,1883.298768
20.334754,47,1886.618057
15.186422,43,1888.962812
16.155221,49,1892.449119
4.19447,24,1894.083012
9.790273,25,1897.154902
9.288231,33,1898.987672
14.38523,35,1900.885851
42.391499,46,1904.157645
