#{"t_start": 1734868395.3704038, "env_id": "Walker2d-v4"}
r,l,t
-0.474198,16,3.455562
-1.566557,16,4.522296
5.616728,26,6.939046
9.295709,22,8.518698
-3.641416,18,9.895206
15.325787,29,11.505275
3.033588,36,13.50746
1.167385,27,15.372087
2.264253,12,16.055791
-3.408639,10,16.617835
6.532573,28,18.581446
-0.353314,14,20.403173
-1.785206,18,21.707704
4.575525,18,22.703273
-4.73497,11,23.317841
2.000424,11,23.911233
-2.363147,12,24.577365
5.221217,17,25.849415
-3.665752,26,27.31736
6.510919,22,28.563654
-1.7929,18,29.565296
0.637724,21,31.214545
2.994243,18,32.883438
-1.928937,20,34.719224
7.062445,26,36.165693
-4.684521,28,470.391409
7.68797,27,471.928596
11.103963,33,473.785311
2.9501,19,475.605838
0.88697,17,476.549587
1.628337,35,478.763902
3.280273,23,481.737549
7.137061,18,482.740378
0.996016,10,483.318805
-1.046145,14,484.097193
-3.091352,13,484.875726
-0.355271,14,485.710886
0.701019,23,487.759238
1.592303,14,488.588104
-5.924349,12,489.288863
1.818037,13,490.042602
0.317626,13,490.857585
0.121993,11,491.54977
-1.099124,23,494.757348
-5.080623,28,496.493444
9.160027,20,497.676536
0.07585,20,499.59208
1.636055,13,500.363081
0.915869,21,501.61274
0.065551,20,502.757514
0.687498,25,504.939326
11.971318,23,507.1127
8.07211,17,939.149089
7.350388,34,942.166679
5.400731,28,944.547147
4.7704,19,945.616363
-5.152696,16,946.518616
1.926565,20,947.657186
6.164741,27,949.862095
8.057107,21,951.037931
3.155095,30,953.336352
5.865277,26,956.206063
17.062098,40,958.435494
27.078117,71,963.02797
3.894356,16,963.907581
3.720479,15,964.731436
12.699821,34,968.439491
1.40375,35,970.473012
8.250005,25,972.565592
5.896283,26,974.077238
5.417549,16,1405.12884
-1.291409,27,1406.612823
9.544913,34,1409.207997
1.59342,25,1410.824655
21.394371,57,1415.957931
8.783542,34,1417.860681
2.341815,25,1419.225038
19.520797,40,1422.147187
0.806773,14,1422.904222
6.38207,29,1424.954979
7.316334,49,1429.254772
3.674054,18,1430.253166
-1.57911,9,1430.768767
21.259389,34,1433.396251
2.763217,11,1434.000218
7.806104,22,1435.222381
7.365703,24,1436.539871
-0.807304,15,1438.595682
-2.239439,23,1440.823454
6.666048,21,1871.660969
6.151545,27,1873.912384
13.972087,35,1875.884928
4.570003,26,1877.354069
1.549576,12,1878.014695
-2.559585,9,1878.498142
-2.893503,11,1879.852587
5.027972,53,1884.030032
16.871123,33,1886.615525
51.643838,59,1889.835855
22.586802,30,1892.261581
30.169597,57,1896.283421
4.872032,15,1898.259846
18.452727,40,1900.44313
4.26888,30,1902.074559
22.855798,33,1904.641064
