#{"t_start": 1734868395.4694772, "env_id": "Walker2d-v4"}
r,l,t
-2.159179,14,3.234273
-1.20374,18,4.430416
-0.759504,9,5.221458
1.74546,11,6.250682
-2.113622,18,7.807677
-1.679079,17,9.182629
-0.664731,10,9.745577
-9.08373,18,10.75866
-0.201062,26,12.192292
-5.140185,8,12.63046
-4.342857,10,13.190266
-6.34089,12,14.209146
-6.705845,17,15.162011
-3.207657,13,15.905193
0.397651,11,16.523383
-5.579431,16,17.422952
6.136074,21,19.324426
19.698583,39,22.49823
3.213737,20,23.601595
-0.351911,15,24.425903
-2.13187,11,25.365481
-1.119882,30,27.045869
-0.249545,12,27.723325
-0.822098,13,28.469284
3.393489,12,29.128452
-5.664087,30,31.408143
4.798903,21,33.383023
-4.278814,29,35.453351
2.999212,23,37.088908
-5.163138,22,470.62829
1.599389,13,471.359739
0.861342,61,475.568131
6.812331,31,477.274789
-1.917298,10,477.833945
3.064136,22,479.781858
-2.239431,10,481.589064
3.50434,15,482.42038
2.153052,17,483.397311
-1.900508,17,484.357301
-0.814042,15,485.257892
-1.354331,12,486.66819
-4.325315,13,487.432829
2.661145,27,489.009301
14.437669,35,491.104826
0.060066,14,493.256527
-11.029034,19,494.980816
-0.150537,34,497.045682
-3.937241,23,499.130121
-0.178079,29,500.865099
1.592701,18,501.924311
-2.345231,18,502.936992
-2.411044,11,503.539674
10.22662,22,506.028246
0.992459,18,938.27261
2.834838,17,939.767272
6.362999,24,941.959921
2.022762,36,944.788523
-3.052498,23,946.085288
12.262182,22,947.339112
1.693862,24,949.371717
10.440181,23,950.671242
6.93208,28,952.643468
22.859918,59,957.574344
0.749723,15,958.395526
1.594368,16,959.26778
11.651892,28,961.526399
1.093229,13,962.217472
7.312235,24,963.538791
-2.406246,18,964.528301
0.217294,13,966.174394
19.373669,44,969.606294
8.635412,38,972.415124
10.501817,23,973.75144
-8.862348,18,974.738106
2.472873,15,1405.761688
8.171976,20,1406.860443
15.108902,36,1409.5393
16.291714,26,1411.540218
20.434938,43,1415.586772
76.274579,105,1422.10496
3.083772,23,1423.353848
1.582058,12,1424.210182
7.88251,21,1427.231941
20.225736,47,1429.831519
0.186821,16,1430.730243
-3.318799,8,1431.170917
9.105939,38,1434.01576
-1.870512,11,1434.642529
-6.112201,16,1435.516132
117.707894,134,1875.555409
-0.311207,10,1876.113554
30.728374,44,1879.304837
15.008345,43,1882.250432
11.572983,39,1885.83574
21.629293,44,1888.274584
32.527325,75,1893.169397
-0.495872,10,1893.714432
14.002592,31,1896.397689
11.276591,56,1900.519247
28.290257,42,1903.557723
5.586871,19,1904.602782
12.615338,37,1906.733072
