#{"t_start": 1734868396.1400228, "env_id": "Walker2d-v4"}
r,l,t
0.921682,15,2.665311
-8.770259,27,4.678217
0.919392,12,5.841297
-0.047282,22,7.558889
-3.363773,8,8.374279
3.755287,14,9.16116
5.651515,15,10.005577
13.900788,46,12.550968
-9.338798,19,13.961403
-1.491503,19,15.034148
-2.382964,12,15.714124
5.467559,23,17.145779
-0.538443,14,18.418501
-6.861783,14,20.273995
0.770812,19,21.363628
1.722014,17,22.292904
4.434511,23,23.567081
-9.090879,26,25.337378
7.534585,22,26.583169
-3.058862,14,27.354191
2.445911,15,28.215876
3.103536,13,28.944332
-10.804518,14,30.121856
1.860387,19,31.784361
-0.003342,15,33.23767
-1.437867,10,34.043241
6.659926,21,35.211759
3.980738,22,36.781151
1.756653,18,470.10162
0.645723,26,471.59454
1.116319,16,472.502695
0.924167,17,474.206388
11.720039,30,475.868575
1.502745,11,476.471775
1.768749,12,477.129222
-6.276706,22,479.06426
-2.259479,12,481.000844
26.334679,42,483.37135
29.244972,41,486.499493
13.352522,38,488.727884
-2.04216,8,489.193749
0.223293,22,490.523655
1.935704,19,493.251934
-8.612323,19,494.687834
2.150829,14,495.580165
1.302111,13,496.34967
-2.90804,19,497.459479
2.027425,37,500.399957
2.37781,16,501.340712
6.23391,22,502.566362
5.004556,18,504.511019
2.218952,18,506.208915
6.679127,17,938.259235
5.285752,19,940.028729
15.51922,48,943.979722
22.783437,55,947.084167
9.797531,36,949.7991
-1.794994,16,950.703158
0.847507,13,951.752912
12.521216,38,955.588775
0.77919,14,956.370007
14.830518,43,958.742613
66.981706,74,963.497278
0.233611,10,964.048307
17.748944,43,968.360078
2.793864,24,969.682608
13.668609,32,972.223978
-0.684474,17,973.17847
1.363177,20,1404.454573
5.537793,16,1405.339199
27.949861,48,1408.686942
2.860956,14,1409.451199
3.768908,16,1410.921774
28.113289,63,1416.091572
2.163475,13,1416.799742
-10.78678,25,1418.155188
6.330765,25,1420.260162
17.329476,43,1422.606044
14.125581,33,1426.436785
25.497971,85,1431.950983
1.929676,21,1433.104144
7.669054,29,1434.702058
1.672445,21,1435.870433
8.238132,23,1438.746305
-1.156751,15,1440.147541
6.511666,24,1871.146444
5.847587,22,1872.363613
20.47361,48,1875.811509
19.005357,30,1877.493443
40.708711,62,1882.667172
6.808199,25,1884.311274
10.920159,45,1887.523997
5.2063,20,1888.603646
16.210071,69,1893.179636
0.530973,14,1894.36535
16.515923,40,1898.19885
15.407444,34,1900.039293
-0.068413,11,1900.630367
10.854659,25,1902.743747
20.656734,44,1905.223825
