#{"t_start": 1734875838.1333454, "env_id": "Walker2d-v4"}
r,l,t
3890.549319,1000,11.187843
1992.777321,525,18.010287
3845.815295,1000,32.530311
3317.836153,815,46.645729
2057.389261,515,54.502042
3897.420353,1000,69.043974
198.704635,89,69.232136
1557.642144,441,75.861001
1355.768109,382,83.386538
2641.418214,674,96.19778
3801.775427,1000,110.754821
2833.467791,745,118.012524
4104.967403,1000,132.362386
2089.917494,546,145.870675
3902.845822,1000,154.722754
2827.245995,681,168.631722
3731.934848,1000,183.269077
3976.126823,1000,202.855469
3963.126855,1000,217.528503
1550.544006,387,218.620013
1234.875549,325,225.757036
1231.64237,348,232.492629
3785.160201,902,241.027574
1122.48105,301,248.126257
2738.257715,684,255.848779
1909.415656,486,263.562268
3870.153117,1000,281.106292
2210.729783,542,288.138802
4044.202115,1000,303.004215
4000.65566,1000,317.943844
2506.67542,613,325.663463
995.020927,265,332.437776
2046.966438,523,339.968777
3956.055873,1000,354.590186
4087.713203,1000,369.072954
2330.987282,600,382.018659
2311.033475,560,389.753596
1802.496409,454,396.719897
4084.955137,1000,411.281635
1631.129164,425,418.937929
4045.031389,1000,433.440454
4127.888756,1000,448.04026
3082.17486,772,455.346623
3257.534125,766,474.979251
2385.53295,594,482.18123
4035.571808,1000,496.747087
3945.764994,1000,511.334344
1621.610511,414,519.015036
3957.586242,1000,533.626135
2591.179248,1000,548.245161
1059.028625,297,548.871672
4041.966249,1000,566.645546
2298.892974,568,574.486445
1035.205643,296,580.967039
4053.182888,1000,595.609461
4182.704578,1000,610.18821
4226.701847,1000,624.717343
4105.878915,1000,639.275431
3924.493381,1000,653.788213
3972.31007,1000,665.522386
1374.92578,368,672.582315
1721.58668,435,679.806214
2364.004414,575,687.460151
1253.706736,360,694.311461
1532.225042,399,701.467874
2167.778485,544,708.813081
1846.105264,450,716.32024
4204.634222,1000,731.250326
4140.521898,1000,745.806355
3029.414158,720,756.851784
4070.026775,1000,771.624262
2545.632358,622,779.259912
1869.98893,467,786.621455
2381.083168,603,793.977339
3396.017081,799,808.088829
3421.000212,812,816.574381
4192.117714,1000,831.355272
4190.578585,1000,849.264755
1962.456162,494,856.644959
4263.666107,1000,871.419584
3350.570608,814,885.630334
515.573385,165,886.155114
2541.308252,647,893.459529
4189.532641,1000,908.060163
2058.376469,508,915.867513
4088.670473,1000,930.511294
4100.765855,1000,950.163565
4052.709562,1000,964.783591
4049.39371,1000,979.30259
2287.371063,577,987.31345
4041.508485,1000,1001.779126
3757.380493,883,1016.105444
4055.790671,1000,1034.439955
4037.841821,1000,1049.104928
1236.36978,318,1049.780078
3869.82085,899,1064.017098
3878.986198,906,1078.397775
1221.907958,303,1085.782364
3519.813843,887,1093.355927
3295.16006,762,1107.378783
4072.959993,1000,1121.927434
2335.796496,563,1134.294057
268.546384,108,1134.526157
4126.746729,1000,1149.02931
3734.196407,897,1163.404279
4081.441666,1000,1177.887461
4077.382346,1000,1192.453548
3104.049567,742,1200.78975
4249.497955,1000,1215.311305
4107.045617,1000,1234.962903
4132.668827,1000,1249.687061
1604.345897,442,1257.482178
3747.097542,873,1265.194084
275.595974,111,1272.030324
3096.561405,700,1279.407105
4244.743433,1000,1294.172541
4106.646854,1000,1308.948062
2391.122572,599,1321.073675
1442.386561,357,1328.543073
3398.621214,821,1336.033766
3159.854152,753,1350.021437
2981.746578,717,1358.322198
2630.403191,645,1372.269907
3196.459382,772,1379.998063
480.560386,157,1380.459593
1322.513219,336,1387.483205
3362.680789,811,1401.772919
253.372256,105,1401.992918
4231.065049,1000,1421.673999
4202.53322,1000,1436.510336
2469.69615,614,1444.560132
4205.957214,1000,1459.455513
4172.816519,1000,1474.172575
4140.370598,1000,1488.902047
4174.128755,1000,1503.608494
4125.773066,1000,1523.750834
3084.293504,711,1531.530545
2618.94936,630,1539.608826
4301.301591,1000,1554.243477
4225.778157,1000,1568.856444
4331.475828,1000,1583.429171
2773.350793,657,1590.516966
3107.518444,741,1609.791505
2709.409572,647,1616.985773
4233.164539,1000,1631.552245
1815.126669,452,1639.275504
4212.413591,1000,1653.856802
3650.022623,824,1667.997851
2370.028624,577,1674.985431
4193.70521,1000,1689.530165
4204.700713,1000,1710.352574
4169.129966,1000,1724.840817
4111.807938,1000,1739.416213
4207.638956,1000,1747.303857
979.821456,266,1754.617517
4145.324018,1000,1769.28778
4228.559235,1000,1783.866575
2151.087576,531,1795.96434
4164.631115,1000,1810.566247
4262.382763,1000,1825.10224
2113.348128,527,1831.925166
4191.893563,1000,1846.474655
3515.255213,812,1854.964485
4181.615549,1000,1869.602128
2902.642842,687,1888.573216
4244.602023,1000,1903.146802
3720.863722,877,1911.846944
3937.317245,1000,1926.463608
4288.809186,1000,1941.106822
4277.758855,1000,1955.733502
2935.271667,695,1969.703121
4241.961036,1000,1988.932877
4263.964948,1000,2003.777618
4251.513907,1000,2012.429554
4376.253315,1000,2027.032963
4253.523069,1000,2041.657727
2522.364443,606,2055.247132
4329.203745,1000,2064.104732
3804.385553,888,2083.502828
4324.160824,1000,2098.088231
1674.123828,417,2105.631954
2687.931911,660,2112.731381
2193.397798,540,2120.563128
4113.059794,1000,2135.072593
2762.291175,661,2148.861315
1656.452587,423,2149.766682
1583.462699,406,2156.343184
1790.873762,476,2164.060187
4161.387229,1000,2183.508011
843.395536,233,2190.657625
4185.691989,1000,2198.529352
4253.747902,1000,2213.184177
4194.750121,1000,2227.933121
4218.123488,1000,2242.722588
4249.176465,1000,2257.468222
4099.139435,970,2277.127364
2011.39905,503,2284.379496
4000.19017,948,2299.005754
4293.689431,1000,2313.844781
4224.241178,1000,2328.29602
4269.036978,1000,2342.803463
4377.435535,1000,2362.244457
4279.65348,1000,2376.917282
