#{"t_start": 1734868395.9248307, "env_id": "Walker2d-v4"}
r,l,t
5.402537,23,3.329164
-3.461052,28,5.729965
0.565108,10,6.7244
-3.148988,12,7.543118
0.980877,12,8.635744
0.183776,25,10.020939
11.578579,27,11.540913
7.649581,23,12.811238
0.355823,11,13.773703
2.041251,21,14.953493
-4.312496,17,15.919263
4.398277,19,16.988813
2.401878,27,19.989304
3.411268,34,22.11764
-3.031541,14,22.895578
-0.89597,12,23.545447
-5.717923,13,24.263254
2.4616,15,25.427458
-4.025491,24,26.78784
6.878582,25,28.201651
-4.05391,11,28.815422
-3.108667,9,29.31352
8.706316,24,31.450355
4.070313,32,34.304214
-4.443081,13,35.031681
3.666232,13,35.746517
2.482801,13,36.82303
5.998647,32,470.926131
-3.307293,20,472.098543
0.519286,14,472.87639
0.833191,15,474.467228
6.016898,21,475.638004
1.347165,19,476.676217
1.871427,15,477.510564
-2.591176,9,478.340418
1.539448,17,480.931034
-3.882178,13,481.653325
4.275613,21,482.848092
-0.706586,12,483.513782
0.576119,20,484.705465
-7.120565,17,486.407106
8.101598,27,488.001373
-4.255854,27,489.570196
43.868411,61,495.155892
3.500689,16,496.157812
4.619971,20,497.317617
8.784828,24,499.488465
-0.823003,13,500.257378
-0.450726,16,501.208616
-2.240343,34,503.106243
2.27382,20,505.432814
0.701507,12,506.601166
-0.759219,17,938.635349
2.528471,40,942.013972
9.874554,35,944.753837
26.147654,48,947.46316
11.343705,31,949.894884
-1.638731,14,950.686268
13.061662,24,952.563118
0.223057,13,953.791399
-0.985689,18,955.794251
5.636242,28,957.355441
-1.948778,8,957.794743
-0.408318,10,958.344352
-8.769098,19,959.385813
0.135242,11,960.693188
5.466997,15,961.518166
1.640801,23,962.762162
0.696701,24,964.094476
10.748982,22,966.609066
1.922986,21,968.404376
-2.451675,18,969.394426
-2.501213,12,970.053615
4.004547,18,971.075724
-1.377211,11,972.428869
-1.617101,26,973.871301
19.849095,44,1406.480851
5.158754,18,1408.193834
14.559482,25,1409.548639
16.561483,42,1413.341511
-0.903816,10,1414.648082
1.077411,16,1415.557321
7.750002,18,1416.576676
2.106443,14,1417.33048
67.541385,71,1421.936458
1.606865,24,1423.239668
17.124079,28,1426.863862
9.578197,32,1428.616652
2.578557,20,1429.723035
-2.977601,21,1431.637006
15.339177,30,1433.309453
10.582282,37,1435.353941
3.837958,21,1437.556778
20.163556,33,1440.516779
4.342359,21,1871.351308
25.50323,47,1874.742048
-1.300103,12,1875.411984
7.345969,39,1877.592284
4.457474,15,1879.146253
18.761128,40,1882.020741
12.02756,30,1884.288923
32.788668,45,1887.505711
2.177924,17,1888.423486
-1.412571,12,1889.081896
-6.482961,22,1891.052755
1.508062,13,1891.785625
-2.983173,8,1892.226557
51.661997,67,1897.966105
10.423187,21,1899.11095
8.773656,27,1900.569076
15.00341,47,1903.884906
-1.107248,10,1904.441407
