#{"t_start": 1734868395.7796323, "env_id": "Walker2d-v4"}
r,l,t
13.456985,27,3.687899
-4.143739,13,4.849476
1.784509,13,6.061336
-0.993005,18,7.567128
-2.622832,23,9.278649
-0.550416,19,10.343699
0.223446,20,11.452564
-6.185621,16,12.333979
-3.426804,22,13.912307
-0.892532,14,14.698335
0.618193,16,15.608347
1.327438,16,16.52529
-4.03851,7,16.911947
-3.456164,16,18.200525
-1.477579,10,19.619162
-3.895375,11,20.6807
6.388201,21,21.874689
-3.43249,12,22.528003
-4.200869,12,23.195543
4.620734,17,24.130269
-0.213924,13,25.179368
-2.93139,8,25.625045
1.890202,13,26.366385
0.977831,17,27.316351
-0.62398,18,28.339989
-5.4902,13,29.064127
-1.582723,13,30.141258
0.339747,11,30.932564
-5.423075,16,32.413651
-1.760837,12,33.569169
-3.998671,18,34.821413
7.671376,32,36.960924
-13.115595,18,470.271896
0.576167,17,471.228227
-2.168528,13,472.010135
-0.985942,17,472.95792
10.033926,34,475.613704
9.3976,28,477.138285
-2.907496,22,478.827716
-4.596699,15,481.181732
2.992746,35,483.157626
-4.960196,25,484.604964
-0.318406,23,486.662118
6.592723,22,487.961223
12.37719,23,489.307984
14.912064,33,492.365885
-2.202683,17,494.071764
-0.700545,21,495.514081
-0.798466,10,496.103119
0.976856,11,496.748795
2.476361,18,497.80248
-2.14995,22,499.856974
-2.276109,26,501.403323
3.166217,16,502.30804
17.087232,44,506.231739
-2.3494,13,937.976262
-2.613393,10,938.858583
-1.270344,20,940.735562
2.663707,19,942.152623
-1.213206,12,943.587492
5.424343,18,944.615377
7.395761,22,945.846966
6.355026,15,946.70931
7.804343,35,949.360822
34.992986,64,954.019219
12.834766,40,957.220327
-2.421865,12,957.868182
40.405755,93,963.67675
5.491005,34,966.937634
-0.577982,13,968.157154
8.78156,31,969.913876
-0.042808,11,970.534437
-4.176108,9,971.046511
-0.263956,9,972.26585
19.973876,42,1404.797719
26.879951,41,1407.772893
5.268503,21,1408.923993
14.980533,44,1412.387117
1.801325,15,1413.656403
3.597882,14,1415.177848
3.241032,13,1415.923772
-8.282598,13,1416.661948
23.982764,41,1418.887903
-1.469913,23,1420.886622
11.469085,23,1422.12825
9.604016,31,1424.097304
18.943952,32,1427.664263
13.282934,22,1428.863086
17.031642,43,1432.004179
21.048802,88,1438.045831
5.696121,20,1439.940415
-0.478615,10,1440.708298
23.311288,54,1874.151159
3.06761,12,1874.825118
37.748137,59,1878.10579
10.008097,20,1879.94551
1.040248,27,1882.052727
7.09446,18,1883.720983
51.429545,66,1888.084309
35.18156,73,1892.872969
12.938849,35,1895.528585
20.026347,31,1898.540038
13.495628,27,1899.994074
19.881735,32,1901.735534
27.231921,39,1904.635911
-3.946547,12,1905.326957
