#{"t_start": 1734868395.4765692, "env_id": "Walker2d-v4"}
r,l,t
0.512819,12,3.118934
0.385947,28,5.131115
-1.617186,25,7.514338
4.1349,24,9.291533
0.161811,18,10.283337
7.404679,25,11.688601
-8.123939,26,13.126804
-8.03587,21,14.649616
-9.445912,19,15.722309
14.529195,47,18.923433
-4.510536,15,20.885558
-6.5327,21,22.109782
13.844964,42,24.419236
-10.472388,19,25.801803
-12.298056,17,26.762708
0.317891,13,27.493184
2.34537,20,28.630144
-0.83774,12,29.299087
6.59222,32,31.863999
-0.970487,32,34.731933
-0.200629,12,35.391197
-1.900509,9,35.899599
-3.393846,11,36.853158
-1.766617,16,470.069441
-2.698136,17,471.01318
9.612733,50,474.596415
4.689467,26,476.065403
14.667514,32,477.827324
-3.675543,16,479.197929
3.356496,13,481.415252
8.044218,31,483.160984
2.689569,15,483.995285
-7.703244,18,485.074764
4.150767,29,487.483362
-4.132192,10,488.065018
-4.604694,14,488.891283
-0.612164,30,490.698899
-1.344549,11,491.349016
-5.026044,25,494.746786
-3.078175,16,495.725149
3.52203,21,496.981596
2.960693,13,497.745548
5.071965,32,500.381264
-0.132675,14,501.218651
-3.367132,14,502.029941
-4.041863,6,502.36555
-5.450175,10,502.930305
-3.69979,24,505.215981
-1.909659,11,506.209888
0.210868,16,938.266
8.082642,24,940.431164
-0.868915,34,943.668718
3.517339,25,945.126065
13.009458,33,946.998039
-1.479064,16,947.883322
2.107041,13,949.308343
15.484477,35,951.277682
-4.127052,16,952.549429
-1.371363,16,954.000552
33.809767,58,958.333887
5.367216,21,959.485093
2.924581,12,960.851442
12.021547,29,962.439099
5.09466,16,963.300617
3.262301,32,965.058036
3.250416,16,967.411009
-1.57131,10,968.341534
12.572085,25,969.82358
1.147297,28,971.395399
4.327765,17,973.079066
4.177013,15,973.920092
3.409659,14,974.679434
1.855213,21,1406.027843
18.324645,38,1408.837082
11.669471,27,1410.380277
21.995258,43,1414.900607
5.729947,22,1416.159954
8.159985,31,1417.864172
17.315519,41,1420.839463
15.540512,38,1422.906653
-4.124847,14,1423.668899
0.156567,11,1424.661972
4.20319,17,1427.29152
4.017731,13,1428.00729
-0.504147,13,1428.727555
4.122322,22,1429.930721
15.357251,38,1432.80981
7.985788,25,1434.177618
-2.194639,11,1434.798344
-4.098875,12,1435.451733
-0.71856,10,1435.997179
7.179641,24,1438.593005
12.222224,49,1871.889516
7.819033,51,1875.495655
16.539339,33,1877.359245
7.831908,25,1879.467652
5.950171,27,1881.080538
8.117145,37,1884.27968
9.960035,24,1886.351458
7.852034,22,1887.546327
21.409781,46,1890.078062
7.098662,48,1893.488575
14.041891,40,1897.695733
5.247454,21,1898.886302
10.569522,38,1900.946233
20.028703,42,1903.985049
1.69584,21,1905.154697
2.809358,19,1906.234225
