#{"t_start": 1734868395.783253, "env_id": "Walker2d-v4"}
r,l,t
-11.92396,17,3.117375
-0.859536,23,4.846301
5.742915,25,7.223624
0.92256,15,8.126806
0.85081,17,9.445282
6.409276,33,11.276461
-7.275043,18,12.275966
-2.48293,15,13.112319
1.684375,17,14.409139
0.712154,23,15.717103
-3.895245,18,16.744279
6.678285,18,18.108859
2.028507,12,19.725106
-2.060521,14,20.92251
-0.97532,12,21.585311
-0.661681,25,22.976601
1.695078,20,24.071053
-1.474826,10,24.611431
6.450548,34,26.868104
11.00642,22,28.112878
-8.071582,19,29.171591
-0.520436,10,30.07874
-2.526424,50,34.381564
7.998368,22,35.607039
0.42067,11,36.561398
22.431422,35,470.835127
-5.868901,29,472.519516
-4.288822,14,473.283026
1.016478,14,474.819038
8.676835,26,476.265296
-1.241653,18,477.244416
6.919022,18,478.654809
9.347977,35,482.176613
-4.564783,15,483.03917
-4.24643,18,484.057579
-0.501842,19,485.200122
9.029388,41,488.311091
-1.155639,10,488.894869
-0.135389,19,490.006285
-0.822542,15,490.935451
8.429385,23,494.068571
-0.783289,10,494.792109
0.44938,14,495.69119
-8.070976,13,496.464094
3.049943,38,499.443022
9.566647,25,500.926385
0.739076,17,501.902345
-2.376636,19,502.9626
-3.478565,13,504.461195
-1.37644,20,506.33101
-0.235353,21,938.766238
5.865712,31,941.603877
17.050533,37,944.488779
-2.203675,17,945.446131
3.99194,22,946.706079
-0.315312,13,947.424192
-2.930905,14,948.905497
-1.440638,14,949.702758
-6.517381,20,950.82115
17.725897,32,953.42737
5.449719,15,955.487899
25.519398,53,958.425754
-10.160084,39,961.282016
0.909337,14,962.030706
-5.441587,28,963.565355
-2.434296,15,964.38854
2.931706,12,966.054709
8.538327,21,968.057524
6.768368,22,969.369745
2.405892,29,970.979068
2.818284,11,972.323899
-2.412836,10,972.899742
-0.430642,16,973.790163
1.858743,29,1405.569069
5.02956,21,1406.724394
5.979304,25,1408.813331
4.113154,27,1410.641639
4.545514,14,1411.908204
1.850948,22,1414.486558
17.521463,31,1416.270008
15.711992,32,1418.012222
34.84709,53,1421.630677
3.883196,14,1422.403641
-2.391916,13,1423.106095
28.47761,51,1428.000261
-0.315754,11,1428.592251
10.234064,33,1430.430338
13.942129,40,1433.390806
20.016181,42,1435.703485
11.824189,22,1438.126988
7.865675,21,1440.136017
10.126576,25,1871.324162
-0.024382,11,1871.927429
-3.029438,7,1872.326547
10.002693,23,1874.38931
7.60902,30,1876.040365
4.929795,71,1880.887158
103.67448,124,1889.553278
1.480737,13,1891.018899
4.027238,30,1892.695073
8.350188,26,1894.437439
32.858355,57,1899.30039
8.735332,26,1900.70449
8.269724,43,1903.799129
7.869742,33,1905.673227
