#{"t_start": 1734868396.111485, "env_id": "Walker2d-v4"}
r,l,t
10.330826,28,3.4568
-1.855128,25,5.757005
-2.80229,23,7.585852
-6.471448,13,8.685888
-6.433205,22,9.896132
2.154608,15,10.743539
-10.134142,14,11.523998
-0.228828,16,12.41357
4.103789,26,14.21645
0.263057,15,15.061098
6.213513,29,16.703528
-2.691078,12,17.715608
-3.553159,10,18.63484
-11.781661,27,21.164072
1.186314,11,21.776129
-4.935375,33,23.593913
-3.24775,18,24.922232
0.557393,16,25.826408
-3.322245,9,26.317225
-1.468496,12,27.000877
1.145239,12,27.689486
-1.528372,23,28.97129
-1.618643,13,30.091365
9.131498,28,32.595823
-5.210605,11,33.633318
-2.723528,20,34.854339
-2.366058,26,36.645611
-5.82025,12,469.629569
21.065519,67,474.176653
-0.503368,15,475.008428
0.613166,11,475.622493
1.838223,11,476.232221
5.498235,17,477.155067
-3.257805,18,478.703021
-2.160056,14,480.921281
11.344478,27,482.444859
17.825696,57,486.460822
13.073089,21,487.70616
-2.184218,16,488.641823
0.883933,19,489.778791
-6.847748,15,490.685965
5.781066,29,494.313158
0.647498,12,495.05562
-0.466955,27,496.662241
3.723237,22,498.69576
2.19582,28,500.368669
7.279377,21,501.589919
-3.308822,10,502.158923
5.398287,24,504.35539
4.299187,18,506.027844
1.131562,11,937.604257
-7.162375,14,938.815395
3.459044,12,939.946451
5.064663,15,941.292183
0.120501,15,942.890769
-0.726396,11,943.553989
2.477641,20,944.688112
7.541524,18,945.699612
19.589438,46,948.989315
15.335385,29,950.616525
17.349425,50,955.444614
-1.948307,8,955.901153
7.929382,26,957.336218
2.124995,26,958.769614
-1.318717,26,960.914583
9.420249,22,962.10655
2.231841,21,963.252094
-8.170527,54,968.171976
5.726638,22,969.378536
5.883615,20,970.488459
2.536856,13,971.952483
-0.635728,21,973.149887
24.343447,66,1407.676757
10.446908,48,1410.85938
6.717542,33,1414.356246
5.299817,26,1415.842831
17.648949,37,1417.856032
1.918479,25,1419.956749
1.979087,15,1420.782715
1.161633,24,1422.090993
30.207927,37,1425.872582
24.326442,35,1428.120588
0.609793,27,1429.599325
0.833538,15,1430.441648
23.791347,41,1433.460664
3.343079,13,1434.190782
5.991985,28,1435.723049
8.820444,19,1438.10952
8.240502,27,1440.449761
12.712992,56,1874.01686
39.215366,87,1879.575104
-0.13793,12,1880.310055
32.965287,58,1885.462967
37.205841,67,1889.12953
6.658869,19,1890.928481
7.465665,32,1892.720323
13.637749,32,1895.224926
10.767209,42,1898.826602
13.644833,26,1900.231423
-1.294217,14,1900.992112
17.292061,27,1903.215833
6.365272,18,1904.21036
0.953505,10,1904.773251
5.259686,20,1905.916958
