#{"t_start": 1734868396.2405105, "env_id": "Walker2d-v4"}
r,l,t
22.913814,44,4.773662
-1.382333,8,5.542921
-9.323645,15,6.907201
-4.176974,21,8.502674
0.323036,15,9.337768
-0.591589,21,10.513335
4.909284,25,11.895284
11.342399,22,13.473736
-0.357207,14,14.258914
2.101258,38,16.418427
6.960038,28,19.309179
-3.376567,21,20.875776
3.983344,17,21.817403
-2.87751,18,22.811526
-1.998087,9,23.303988
-2.519405,10,23.855829
3.463382,15,25.01743
-6.690383,19,26.086118
5.828744,28,27.67703
-0.527291,11,28.282843
0.761231,17,29.58456
1.471194,11,30.315729
-1.642896,23,32.477043
-5.07292,20,34.108894
1.50695,18,35.11574
-5.039957,11,36.066451
7.667937,20,469.506469
6.214552,26,470.981794
0.562826,12,471.686063
7.985112,37,474.497379
2.846,16,475.389551
6.651842,26,476.808281
-0.972987,11,477.598908
3.359141,12,478.687843
8.05131,18,481.069512
9.291051,22,482.321978
-1.264458,9,482.833479
10.063787,20,483.984123
9.022785,25,486.165878
1.839215,26,487.701308
-2.594395,23,489.041217
-5.086249,10,489.661452
1.414214,14,490.503867
6.517574,24,493.754977
0.318409,30,495.664009
0.79002,13,496.419254
-1.526357,11,497.076958
7.818436,24,499.248452
-2.217137,10,499.843355
-2.43792,25,501.301886
-1.671528,27,502.805344
-1.479096,17,504.875166
-3.945061,21,937.424755
-3.955005,14,938.607344
1.905058,23,940.788386
12.571164,49,944.453083
10.449112,24,945.805229
17.137783,30,948.202772
13.136026,24,949.539368
0.131989,20,950.665821
2.764832,14,951.841919
-2.861028,10,952.721738
0.26568,20,955.158051
6.33351,29,956.783496
-4.764408,8,957.212857
-5.142054,24,958.535562
9.647514,44,961.655262
-0.272771,27,963.129074
0.159728,10,963.683812
-2.181533,27,966.611201
5.386286,21,968.264055
3.649339,19,969.309301
31.876126,52,972.960847
-1.650173,12,973.625145
-0.538453,14,1404.580158
5.242777,34,1406.448131
22.138368,34,1409.031233
7.3347,32,1411.777409
26.974297,45,1415.5441
-0.083887,11,1416.165706
12.382787,45,1419.332879
11.080743,25,1420.712744
19.365291,28,1422.230474
0.642547,15,1423.123739
8.907537,33,1426.956059
10.379048,29,1428.54603
0.020182,13,1429.260478
10.612142,37,1432.080151
-2.744946,19,1433.115089
-3.046115,8,1433.554868
3.259683,13,1434.28294
0.479327,15,1435.105251
1.289617,13,1435.83565
13.702869,38,1440.105644
4.562572,35,1871.724168
0.310477,18,1873.484905
24.155568,60,1876.847218
1.615685,12,1877.507364
14.235872,84,1884.16164
10.854551,32,1886.653023
0.489787,21,1887.803019
9.423286,38,1890.641001
9.259933,34,1892.543217
12.379967,25,1894.356328
1.219676,22,1897.150506
3.157495,45,1899.622866
63.292189,67,1904.031721
3.172715,16,1904.959206
-1.213747,9,1905.451369
