#{"t_start": 1734868396.307459, "env_id": "Walker2d-v4"}
r,l,t
-5.173787,14,2.436257
1.394691,12,3.128241
0.099989,24,5.284775
-7.219711,22,7.121606
11.970809,35,9.491232
2.012513,39,11.663642
-10.361018,18,12.670477
-10.136115,16,13.92117
4.603518,26,15.386271
5.230048,32,17.533959
3.87515,26,20.368774
0.356672,22,21.588932
-0.246849,28,23.124406
-2.212352,8,23.5711
-7.668934,17,24.846582
-2.034035,21,26.022611
-7.142361,25,27.446365
-12.128395,14,28.219428
0.022147,18,29.580546
-6.37655,19,31.095513
-0.402018,11,32.117423
-6.452463,22,33.991402
6.210739,21,35.161213
0.3019,18,36.513335
3.974639,19,469.887573
2.449044,12,470.561507
0.78348,29,472.236662
7.901289,28,474.547345
-3.099298,9,475.055744
-2.150272,20,476.152438
1.242481,23,477.627326
-8.423972,17,480.196764
6.921261,28,481.902728
-0.180333,26,483.382321
7.429381,23,484.760927
-2.053491,21,486.693297
6.139196,18,487.755125
11.610793,24,489.148684
-0.799476,29,492.081443
5.468,17,493.797783
-1.748174,21,495.135794
-0.250333,27,496.726447
-1.368267,11,497.361835
-6.313083,24,499.532161
5.852802,24,500.955185
6.089672,17,501.917144
3.717544,17,502.877433
-1.565317,18,505.078182
3.456836,27,938.104227
6.798796,41,941.589287
-4.631979,9,942.820877
2.54052,15,943.706909
4.409128,16,944.61334
4.723095,20,945.741611
9.64067,36,948.461327
-1.826501,9,948.965698
3.419062,14,949.750049
10.553065,44,953.139732
4.642301,29,955.886339
2.988143,30,957.54134
-1.443963,10,958.086602
-1.994102,20,959.897746
16.413531,34,961.758698
-3.107529,23,963.012072
-2.826128,12,963.674567
7.04701,34,967.30245
4.287672,16,968.362471
10.662307,28,969.921386
-2.850617,23,971.951339
4.153693,31,973.669733
-3.012704,16,1404.744397
-0.131709,11,1405.348526
17.872334,64,1409.747712
198.763733,168,1421.795432
4.274819,14,1422.553102
3.056121,23,1425.501766
32.512569,56,1428.978196
2.430433,18,1429.984974
0.193144,15,1431.568045
16.505407,33,1433.383717
-2.524153,13,1434.107826
6.499467,26,1435.537144
-0.822416,25,1438.499706
3.965357,17,1440.041903
11.895862,23,1870.986762
-0.678533,12,1871.663452
0.758274,17,1873.364793
3.977171,15,1874.215698
8.61765,20,1875.31248
33.875443,61,1879.442686
10.510969,27,1881.573469
-2.448139,12,1882.695652
2.598351,14,1883.651795
4.520819,31,1886.095229
5.497481,15,1886.921393
-0.650587,24,1888.232145
3.682385,15,1889.056194
0.172764,101,1897.424026
6.048823,57,1900.525617
5.529283,15,1901.336927
0.059998,12,1902.757842
3.087418,14,1903.520108
