#{"t_start": 1734868395.5118494, "env_id": "Walker2d-v4"}
r,l,t
-4.094455,19,3.497715
-2.369028,11,4.200653
0.70588,31,7.104415
4.069893,18,8.327586
5.932941,16,9.59698
-2.595502,14,10.360549
3.034146,12,11.04859
-1.704987,11,11.655478
-2.412057,12,12.315223
-0.101806,11,12.931902
-0.963647,15,14.110014
16.414012,30,15.809456
-5.263331,16,16.711824
-4.251613,8,17.168438
-1.513365,12,18.093905
0.858479,20,20.466895
-1.376044,16,21.572594
-0.646824,12,22.238903
-1.632109,17,23.182886
-0.76552,12,23.829093
-1.281332,11,24.44198
-0.895638,25,26.170028
3.310701,20,27.291756
-1.591268,13,28.009671
-3.811603,35,30.338358
0.218393,32,33.05032
0.803927,20,34.751855
-4.588373,9,35.247615
-2.528883,16,36.141582
2.516942,18,37.507677
1.870465,15,470.647328
17.924831,40,472.942374
1.755007,20,474.805622
6.620316,42,477.124834
4.908455,22,478.633341
-2.547206,16,481.11827
-6.841539,13,481.93178
2.011742,11,482.54993
-0.792771,21,483.745031
-6.738748,23,485.099233
-1.128479,9,485.632948
-3.155884,22,487.624459
-1.80573,12,488.336086
4.644794,29,490.021793
3.085457,34,493.545522
0.867248,12,494.713457
13.808555,45,497.408384
-6.470953,22,499.456941
2.262811,15,500.347839
0.235421,32,502.218475
-0.900707,14,503.005134
-3.306014,15,503.862486
1.310841,16,505.989394
-3.029804,9,506.884248
2.313631,25,939.642437
19.736105,40,943.52131
-0.428478,14,944.352083
9.367584,31,946.101362
-7.011109,20,947.240708
16.569566,33,949.779864
2.379635,21,950.969624
4.867255,25,952.864244
10.136825,34,956.302562
30.82943,58,959.506084
-1.38586,13,960.927366
-0.716513,12,961.594526
3.010007,33,963.387804
8.20411,17,964.313948
13.213369,29,967.378893
2.305873,16,968.743855
3.748292,19,969.789976
11.419999,26,971.236527
24.528657,58,1405.38314
15.67722,28,1406.928916
14.281261,36,1409.622862
14.683487,27,1411.786931
15.683324,31,1415.042389
16.342397,27,1416.583992
9.486647,30,1418.219752
10.308803,24,1420.251177
6.498757,15,1421.087926
0.876626,17,1422.011737
63.278374,103,1429.738968
49.769991,59,1433.758539
3.686363,17,1434.710267
3.728198,20,1435.802141
8.007668,23,1438.205581
7.408592,37,1441.295287
4.644971,14,1871.746762
1.521661,17,1872.693095
15.374607,31,1875.192646
7.751828,26,1876.677467
4.800705,22,1877.879112
16.021627,27,1880.093123
3.346955,20,1881.489074
7.911851,23,1883.612323
5.481787,16,1884.629829
1.679308,16,1886.263445
6.138196,19,1887.298137
0.861007,25,1888.660982
27.259219,45,1891.892222
68.436861,89,1898.853099
7.218367,17,1899.773647
10.827652,27,1901.231482
12.433656,33,1903.789653
2.907305,22,1905.004698
