#{"t_start": 1734868395.9897377, "env_id": "Walker2d-v4"}
r,l,t
-2.152164,12,2.627972
-6.789682,29,4.736996
-9.067327,17,6.36723
-3.145875,13,7.366731
2.845995,17,8.741663
-1.858576,22,9.959414
-4.814461,11,10.59272
0.27871,16,11.480452
14.381661,26,12.915921
0.474591,22,14.498764
-5.92875,13,15.234221
7.579897,23,16.547145
-3.552667,11,17.28125
-0.952766,10,18.179892
-3.803001,28,21.003962
1.262886,15,21.837751
-2.530974,15,22.67076
4.093219,15,23.48366
-7.634489,19,24.869
3.116385,27,26.379709
-5.59952,22,27.61432
1.435225,26,29.087466
2.503714,17,30.443804
-0.053767,13,31.651225
1.16459,19,33.468237
-7.849023,13,34.40264
-3.083911,11,35.026307
-6.23619,13,35.738476
-0.694822,19,469.470353
-8.070492,26,470.919003
4.561775,18,471.980116
-3.509525,21,473.140088
10.369958,44,476.348247
-0.019544,12,476.99186
-6.883898,17,478.280721
1.203337,16,480.787521
-3.686142,15,481.643926
2.643564,26,483.12693
9.391883,30,484.884341
6.402884,16,486.518286
22.709487,31,488.344009
-2.295411,9,488.870357
7.559988,25,490.379535
-1.833249,24,493.390058
15.445709,47,496.548585
-1.3148,27,498.877414
-4.655291,27,500.484167
-1.168514,13,501.257931
3.723289,16,502.165695
-1.797625,20,503.291521
-1.322025,8,504.647952
2.261611,25,937.609564
22.927826,43,941.407852
10.539502,21,943.390204
2.569226,18,944.415375
-6.550361,8,944.858817
3.118074,16,945.75758
-4.211765,10,946.329998
15.375529,46,949.613648
8.664714,20,950.732474
0.399212,16,951.983453
-1.899904,18,953.636033
2.695705,20,955.78998
1.450541,22,957.020139
0.201519,30,958.657326
3.036442,15,960.198672
-10.258147,15,961.030434
2.846106,14,961.773503
9.247614,28,963.314955
26.487802,50,967.964443
14.41119,31,969.713271
0.293896,14,970.496519
1.50587,22,972.473952
6.687923,33,1404.48105
4.485032,18,1405.482765
21.609071,72,1410.538955
5.798365,21,1412.48381
10.879203,26,1414.978083
1.696456,27,1416.514803
13.901311,26,1417.920532
-1.307558,12,1418.579315
-1.864327,11,1419.90345
7.167043,27,1421.37847
13.826522,29,1422.960951
2.14081,13,1423.988904
-0.348119,24,1427.083479
11.983563,20,1428.183586
0.310745,12,1428.838686
66.138189,76,1433.794024
15.270656,25,1435.184929
10.751099,33,1438.40246
-2.372367,23,1440.455121
12.123683,59,1874.193571
0.71433,12,1874.84187
11.361103,26,1876.330869
-1.27248,11,1876.92263
3.259463,26,1879.084259
11.151969,32,1881.222986
152.474724,127,1890.598506
2.481332,22,1891.834364
61.079063,68,1897.612951
14.258705,39,1899.740921
16.83577,37,1902.492823
3.863119,19,1903.547611
15.910865,32,1905.366324
