#{"t_start": 1734868395.8514524, "env_id": "Walker2d-v4"}
r,l,t
-4.377334,12,2.75978
3.177983,23,4.349036
-2.379361,28,6.982206
28.064437,37,9.549413
8.809285,23,10.831519
-1.915856,12,11.498031
-0.362336,12,12.153099
13.720411,35,14.464426
5.151682,21,15.652084
-8.178205,17,16.623007
-1.786168,10,17.216477
-1.821862,11,18.22402
2.822223,12,19.865443
-0.373248,13,20.913434
3.578544,18,21.913949
-0.386445,14,22.692396
-2.945128,11,23.290556
-1.846861,11,23.895531
-5.208708,15,25.056907
-3.151405,8,25.497347
-0.65688,14,26.298186
9.108143,42,28.652341
2.25133,15,29.492973
-3.258827,14,30.770311
-5.561836,12,31.864108
-3.521906,19,33.689065
-1.993556,17,34.808949
0.578086,14,35.59683
-0.323062,11,36.552918
-1.689841,19,469.93393
-1.242605,18,470.941017
10.96714,25,472.399987
3.1586,17,473.337217
-7.025662,24,475.435308
4.524544,14,476.201325
1.751518,13,476.909036
3.769339,21,478.407699
12.376002,25,481.440804
7.720944,17,482.392421
-0.509206,30,484.112367
-2.993158,9,484.648621
-0.833791,10,485.250726
-6.909102,17,486.950952
-0.96925,14,487.775116
-0.073552,31,489.583379
-8.967929,17,490.624691
9.823879,31,494.389199
11.260962,29,496.165161
-1.30823,9,496.680671
-2.868794,10,497.273305
-2.272052,20,499.204981
-2.157839,23,500.558515
20.034191,30,502.297633
10.958808,43,506.166313
8.083365,20,938.525977
6.319746,20,940.389353
0.781934,10,941.34896
2.11643,13,942.849118
9.29711,18,943.912156
4.853264,19,944.990845
3.14613,33,946.862319
-6.083732,17,948.506498
-1.770485,12,949.177878
-1.736019,10,949.744914
1.070745,12,950.417031
2.501008,13,951.157694
3.748086,29,953.762973
5.875228,36,956.809424
4.85365,42,959.126074
5.969204,19,960.87538
1.642553,16,961.744467
8.038759,34,963.608532
-1.0241,13,964.323866
12.926481,27,967.449796
0.369355,18,968.743796
5.830082,23,970.012793
12.237221,24,972.050281
0.999803,13,972.835286
8.699336,29,1404.612703
11.174533,45,1407.810871
6.496156,27,1409.297871
8.613389,19,1410.755153
17.071519,36,1414.542165
24.098746,49,1417.293008
11.196383,27,1418.765092
2.890733,13,1420.204205
7.549833,30,1421.844116
34.050521,63,1427.381885
2.293326,23,1428.631581
2.306852,30,1430.309522
1.673756,25,1432.451417
44.419974,51,1435.263137
6.51144,20,1437.269939
9.514282,33,1440.365498
7.37892,23,1871.31354
12.859684,42,1874.436439
21.938543,27,1875.91908
24.710148,41,1878.94004
3.047076,17,1879.877263
15.262105,25,1881.803771
13.414243,62,1886.705922
18.859585,47,1889.263279
9.12959,28,1891.568483
7.736594,23,1892.858752
18.333488,57,1898.035945
25.062556,90,1903.678765
5.049356,16,1904.567598
6.104937,19,1905.660322
-4.375303,8,1906.095648
