#{"t_start": 1734868396.317855, "env_id": "Walker2d-v4"}
r,l,t
-4.332102,16,2.552281
-1.829431,9,3.06394
-2.079136,12,4.096596
5.318349,18,5.7803
-6.008613,28,7.802275
-4.39059,12,8.826336
0.245312,11,9.426415
-2.747008,13,10.169087
7.17322,22,11.381944
0.092855,14,12.162923
1.814813,43,14.930734
-0.529556,16,15.832258
-3.065832,10,16.400216
2.300627,15,17.615233
-1.88257,14,19.435497
-0.260036,12,20.413397
-5.575985,14,21.196914
-1.296387,10,21.743891
2.274332,14,22.52004
-4.047594,16,23.397102
0.020004,13,24.100631
2.876094,19,25.513801
-2.03635,20,26.635099
-4.554983,10,27.18485
2.2422,12,27.88044
-3.931901,15,28.719305
2.493276,23,30.643269
-4.521334,13,31.829403
-4.231965,13,33.074179
4.339212,23,34.588074
-1.403997,10,35.151423
-2.883157,13,36.222512
-0.962524,12,469.211442
2.018383,30,470.908271
7.234757,20,472.063214
5.078122,28,474.366877
-1.431765,11,474.990176
0.128603,10,475.536932
-6.864573,26,476.967074
18.269129,36,480.940724
-4.436693,15,481.781077
11.239813,21,482.977697
-5.986942,18,484.034873
18.383791,44,487.330802
10.958607,27,488.908529
2.233256,15,489.839979
-2.813505,14,490.774198
1.419496,12,492.899054
4.167563,17,494.283084
5.309447,15,495.240676
-4.191698,21,496.467635
-12.514787,16,497.415178
11.112914,37,500.35988
5.013635,24,501.733
-0.397127,29,504.257553
2.489976,15,505.634757
-0.269428,20,938.00447
4.372036,33,941.038504
2.500622,17,942.752702
3.81482,13,943.527666
9.759326,34,945.445517
5.45706,17,946.41697
-1.877731,16,948.004308
2.225369,16,948.902696
4.883123,42,951.588715
-3.973476,32,955.084389
0.859981,16,955.984524
-3.637212,12,956.653426
-3.730979,8,957.087416
20.32745,41,960.047287
2.64563,18,961.036778
-10.725588,21,962.175086
-1.049978,11,962.787351
-3.568778,11,963.382946
-0.209321,10,963.932904
2.083495,30,967.381519
3.431498,19,968.575462
14.564887,38,970.70246
1.07419,22,972.671599
1.021596,14,973.442445
19.124722,47,1406.214911
46.222398,67,1411.515892
5.09621,21,1413.976912
0.398966,17,1414.943762
2.821685,22,1416.201789
0.025947,23,1417.449656
1.570861,29,1419.759911
3.172357,19,1420.802
2.363315,13,1421.5069
4.689966,14,1422.275835
10.493034,21,1423.788683
-1.990674,24,1426.826128
4.798027,24,1428.132986
-2.463863,24,1429.457463
17.069311,46,1432.77291
43.093768,56,1436.745782
-0.203988,62,1871.137352
24.670998,73,1876.018385
-1.538018,10,1876.554862
144.711847,125,1886.207931
5.376312,42,1888.487467
0.956156,25,1890.624772
17.769909,51,1893.678469
207.442127,126,1903.128173
5.622228,19,1904.178849
