#{"t_start": 1734868396.0654607, "env_id": "Walker2d-v4"}
r,l,t
-6.428687,11,2.501542
-0.912735,36,5.21347
4.181739,24,7.295512
0.801092,28,9.288568
-3.979437,19,10.353851
3.784906,22,11.567716
-0.972909,17,12.510302
-4.05848,14,13.64008
-1.420374,10,14.205703
-1.002744,21,15.391351
-2.25816,13,16.128486
-1.513688,15,17.021029
5.899075,16,18.486176
-2.401943,9,19.860986
19.29787,52,22.978531
-2.483939,21,24.129511
-0.003443,41,26.763197
2.734461,14,27.542728
8.402809,20,28.681662
0.443672,10,29.234223
-2.271651,15,30.573259
8.470708,38,34.056002
3.699009,39,36.57415
-3.138289,15,469.729761
-3.135393,19,470.792379
-5.049866,10,471.376349
-0.054829,18,472.413281
2.190738,15,473.976744
-4.514984,24,475.341221
1.023126,11,475.939686
5.281504,27,477.480566
-9.141955,18,479.132942
6.533261,31,482.132561
-0.515229,27,483.672426
-11.943101,19,484.812349
-5.156599,16,486.446186
1.498047,12,487.15789
-1.46686,10,487.749759
1.150251,22,489.035911
4.349405,29,490.807212
9.36586,23,494.018069
-0.40181,12,494.758318
-1.807184,19,495.96365
9.296772,22,497.243267
-0.16197,29,499.704246
-1.969333,19,500.831879
-1.688346,30,502.530411
1.806436,18,504.397166
-2.849255,10,505.302989
65.110542,88,943.709546
-2.326014,10,944.286874
12.323686,34,946.201484
11.772365,27,948.423857
1.495435,18,949.434093
7.82733,19,950.494753
1.849085,17,951.734089
1.116862,17,953.262079
13.107425,35,956.384202
-2.56434,11,957.005974
0.271947,12,957.661952
6.708853,22,958.866859
-0.429665,11,960.181852
0.685471,15,961.012452
-1.215179,13,961.70124
0.693927,10,962.256149
6.746309,28,963.784283
3.239082,24,966.37977
9.326991,37,969.100468
-3.190002,20,970.208386
-8.887656,25,972.348685
2.854643,21,973.521843
10.442116,21,1404.854803
10.454923,27,1406.346764
0.265925,21,1408.22028
2.505633,12,1408.862693
2.613332,18,1410.078351
-2.569816,8,1410.81971
11.424078,29,1413.384135
1.580334,36,1416.162646
0.606438,12,1416.819083
-1.373738,16,1417.690143
4.290253,15,1418.507217
18.251861,46,1421.746624
-3.3537,14,1422.515528
38.450561,54,1427.557691
3.165884,34,1429.425273
5.283026,23,1431.444033
18.259071,46,1434.017599
5.228483,16,1434.892662
30.460412,54,1440.009827
16.183396,32,1871.484051
1.779273,13,1872.216725
21.747479,38,1875.109995
-3.614462,19,1876.203635
0.082887,16,1877.078702
30.096246,48,1880.62651
80.520649,82,1886.984017
13.569948,35,1888.893399
22.047584,59,1892.925124
14.777334,30,1895.3633
37.695375,58,1899.78982
1.953262,13,1900.488492
16.117989,34,1903.09475
16.459075,42,1905.456814
