#{"t_start": 1734868395.3335874, "env_id": "Walker2d-v4"}
r,l,t
-1.483833,9,3.091392
4.655156,15,3.948491
-2.11988,21,5.708204
0.012364,14,7.068799
-6.059512,8,7.774017
2.216249,25,9.593845
-8.901275,16,10.476095
-3.555925,20,11.597904
-3.477767,18,12.59397
8.490828,17,13.542318
0.702653,12,14.55915
5.497968,23,15.859331
-1.974377,12,16.538406
-3.559628,17,17.500259
4.400806,14,18.703823
0.971714,10,20.138679
0.433288,15,21.408331
0.667337,27,22.900131
6.890699,32,24.666707
-0.098408,14,25.775925
-0.431755,20,26.89923
2.432144,34,28.820804
1.156321,29,30.832675
-4.971363,11,31.735512
-4.219556,10,32.625366
-7.908613,25,34.868189
-3.490174,10,35.417802
-7.426055,16,36.311684
2.547664,24,470.317091
11.498201,30,472.01778
-3.506718,8,472.4939
-1.464766,21,473.657922
-1.343266,11,475.031651
3.0873,12,475.69802
-4.189967,22,476.913965
8.334743,46,481.384719
-3.698326,13,482.165108
3.512095,19,483.243228
-0.55721,12,483.915694
1.366483,27,485.507852
4.397443,53,489.323725
1.855163,18,490.376606
1.775723,47,495.110853
-0.039053,15,496.065193
50.337385,55,500.050682
8.587935,26,501.587392
1.744061,25,503.012261
7.037308,24,505.257655
0.345047,12,506.341275
-3.940975,23,939.005799
-1.950879,13,940.179025
1.915939,17,941.820451
-5.444251,17,943.572308
3.984665,27,945.152925
11.620556,26,946.610511
0.25434,12,947.303254
2.407459,20,949.123235
-0.663984,16,950.00662
-2.763619,20,951.139968
27.332879,39,954.335209
-4.139461,20,956.473005
6.847812,24,957.812095
1.546965,17,958.746711
7.324568,23,960.004512
-0.083877,19,961.76511
-0.422712,12,962.400259
0.772141,23,963.668973
-1.632642,13,964.377251
-3.734895,27,967.152999
3.321678,23,969.077468
2.181,15,969.904786
10.106226,25,971.28533
1.584336,24,973.38611
2.255173,24,974.710804
44.746989,66,1409.243046
-0.655686,17,1410.167844
20.054316,89,1417.358598
10.039215,27,1418.816546
16.135831,30,1421.204942
13.737351,29,1422.779566
10.086932,23,1424.149099
38.627916,50,1428.863685
1.767624,16,1429.746825
4.371755,19,1430.803842
14.632002,27,1433.053263
9.022318,26,1434.475772
-3.966102,17,1435.416318
6.041547,35,1438.546182
5.623736,30,1441.190246
24.568432,38,1872.972056
-3.07997,14,1874.516883
9.201025,36,1876.526426
40.966304,73,1881.56665
7.088059,20,1883.413625
9.016206,32,1886.205583
32.524568,68,1889.928093
-3.761302,12,1891.334781
7.046443,18,1892.350372
3.892838,13,1893.070542
11.030213,21,1894.307987
13.361158,45,1898.750407
-0.218809,11,1899.34318
7.730695,21,1900.478221
4.949522,17,1901.400811
2.196266,12,1902.056203
3.884407,17,1903.741628
25.237811,41,1906.047778
