#{"t_start": 1734868395.748007, "env_id": "Walker2d-v4"}
r,l,t
-0.288541,30,3.980461
-2.158982,9,4.794969
-4.905419,21,6.784324
-2.820418,25,8.803888
6.763921,25,10.189914
-2.656112,12,10.876816
-2.550301,19,11.926345
-5.938471,11,12.543252
-2.543432,9,13.036683
0.840013,24,14.727445
2.258351,14,15.528873
6.40941,44,18.488629
-2.05272,8,19.757387
0.163685,12,20.843534
2.255526,31,22.558174
8.031835,29,24.160415
-3.232173,8,24.591963
-1.956574,19,26.000326
-8.532797,19,27.066164
8.436304,23,28.370223
-1.499961,8,28.807972
-2.628581,19,30.232401
-7.02195,20,31.875899
2.696,14,33.227327
-5.93951,23,34.907848
-5.692863,21,36.080229
-2.558362,9,36.933736
-2.934713,21,470.421271
-6.285203,35,472.444346
-11.152243,17,473.370355
-0.326032,13,474.852708
3.537072,24,476.188565
3.2487,36,478.50321
2.095175,15,480.899823
8.235446,18,481.987602
2.933917,19,483.072826
0.063262,12,483.735618
2.055575,14,484.577535
-2.986017,10,485.175254
3.376148,29,487.576793
-1.788246,17,488.574456
-0.582538,18,489.623477
-7.551556,24,491.098952
2.600846,17,493.708442
18.121289,33,496.012368
3.386689,27,497.603941
13.802839,32,500.239412
-1.897973,8,500.714702
0.26938,14,501.547532
1.860922,18,502.560692
2.824535,41,506.363858
10.900972,30,939.607301
-3.749747,21,941.581255
6.505108,29,944.010989
-5.64401,12,944.701261
15.355533,30,946.390453
6.244118,26,948.546494
1.393143,16,949.446838
13.450996,44,952.296563
2.937158,28,955.521651
15.748022,32,957.308866
2.730403,16,958.183399
-1.118831,11,958.781757
-3.187602,8,959.224961
-2.905348,9,960.429294
5.375387,13,961.15128
1.123286,20,962.234889
-5.679881,8,962.666742
-1.876312,20,963.760411
8.5126,36,967.252965
12.067353,41,969.944067
12.905194,29,972.295872
6.171362,26,973.769352
-2.902719,23,1405.210892
7.674892,27,1406.702423
-1.779346,20,1408.523142
5.485764,52,1412.416267
6.281908,22,1414.816328
5.569928,17,1415.784612
0.274234,24,1417.122463
13.823444,57,1420.96999
69.742824,89,1427.914892
10.994984,33,1429.728226
13.865453,31,1432.211352
39.901843,56,1435.307502
3.643386,19,1437.175246
16.216788,44,1440.958542
6.053613,18,1871.62926
6.458965,20,1872.73639
2.392362,16,1874.422691
13.962853,33,1876.240717
-1.461224,14,1877.046482
0.826907,22,1878.985469
-0.696829,9,1879.492149
8.192151,27,1881.270633
16.77666,74,1887.071761
11.338752,28,1888.590717
-3.428774,10,1889.141127
3.617,16,1890.036782
3.696782,13,1891.495734
-3.493566,19,1892.562899
40.110294,51,1896.510202
7.073388,25,1898.787575
25.150254,71,1903.397965
21.465092,44,1905.865438
