#{"t_start": 1734868395.416258, "env_id": "Walker2d-v4"}
r,l,t
8.524597,33,4.572151
-4.759837,23,6.704698
-0.391094,12,7.749123
-7.127952,19,9.233605
-3.992214,12,9.908137
5.265259,17,10.864264
1.81796,18,11.859686
2.14502,11,12.459797
-2.767478,12,13.132005
14.099749,37,15.551648
1.172643,22,16.803457
-5.959406,15,17.717742
4.403297,30,21.02082
-4.031909,9,21.552357
-3.359049,14,22.330517
0.17474,33,24.151824
-5.554178,13,24.856289
-0.859577,18,26.207803
-1.374937,27,27.720541
0.840457,25,29.125633
10.83345,24,30.86761
1.16796,16,32.270367
-5.927064,16,33.818314
-7.723063,15,34.950509
4.319873,25,36.341038
6.902661,31,470.739178
-0.517674,17,471.692011
-0.57638,15,472.582835
-1.497618,24,474.654242
-0.020718,11,475.283473
6.983241,16,476.177568
2.729714,17,477.109775
-2.568137,13,477.815681
0.004629,10,478.632822
6.010897,27,481.855937
-0.948069,30,483.56137
15.922704,38,485.780295
12.842473,32,488.367444
3.459872,18,489.41717
-3.304991,8,489.884514
-3.159081,12,490.639894
-1.191066,13,491.405811
-1.732171,13,493.633161
-4.151104,13,494.862494
-0.703491,14,495.707616
-1.307445,20,496.928254
-8.727581,25,498.402344
1.97665,17,500.146872
2.814516,13,500.915735
-9.056108,28,502.534358
-1.479857,39,505.904941
1.35053,19,938.26727
1.885155,22,940.191436
0.1164,23,942.179768
17.182081,33,944.839538
15.505637,33,946.704765
20.507196,34,949.30971
6.291264,43,951.751754
15.955743,33,955.62235
4.512552,16,956.510261
-0.87755,22,957.733418
1.222249,27,959.206376
12.642512,44,962.321929
-6.924302,18,963.303658
28.043752,47,967.271651
-1.228314,9,968.127568
6.388954,24,969.657443
14.476733,26,971.099463
2.852069,17,972.793173
7.435736,26,974.249322
0.324686,19,1405.474547
14.226176,44,1408.611133
4.167763,32,1410.435493
3.417078,20,1412.343333
1.192175,20,1414.781795
7.79549,54,1417.817119
-0.859219,16,1418.684093
16.338534,63,1422.860587
5.531348,19,1423.976557
-2.001496,13,1425.211411
8.947486,43,1429.048452
-1.609242,9,1429.552273
0.85813,17,1430.501793
4.151888,16,1432.119762
2.259492,28,1433.688677
8.67918,20,1434.801797
1.174023,11,1435.39359
15.349931,34,1438.469414
12.257228,69,1872.946062
68.427709,98,1879.918734
4.185279,14,1880.669245
14.008201,28,1883.152204
1.765869,15,1884.337643
11.847306,31,1886.788399
-1.371678,14,1887.548628
17.718136,41,1889.792514
9.394427,26,1891.983557
3.803473,19,1893.045938
14.130562,28,1894.954567
30.077317,50,1899.373144
91.482625,77,1904.31589
-1.621945,9,1904.818038
-1.002478,22,1906.077474
