#{"t_start": 1734870687.5599213, "env_id": "Walker2d-v4"}
r,l,t
-3.196964,22,1.66251
5.96847,19,1.704828
-0.783159,12,1.730582
-1.92477,17,1.766351
3.958702,27,1.823694
9.677785,20,1.898866
-1.243908,21,1.970376
-3.508805,18,2.026468
-3.023956,10,2.055523
1.538513,14,2.103369
4.846507,25,2.181607
-0.84888,27,2.257533
-3.376552,24,2.328756
-3.629121,17,2.378084
2.135569,26,2.451867
-7.643392,18,2.505078
0.550867,19,2.558863
-3.425128,7,2.578483
-0.007544,10,2.606805
-1.742015,21,2.666509
-0.780548,15,2.710676
-2.081234,25,2.779671
3.825965,20,2.833765
6.245063,20,2.891594
-4.296635,8,2.917042
20.054791,62,9.889728
8.927145,28,9.94862
-1.937122,9,9.967628
-3.548766,9,9.986264
-1.690045,14,10.015248
0.472476,79,10.191861
-4.827195,27,10.252608
1.010576,20,10.294483
3.204453,28,10.352582
