#{"t_start": 1734870687.5565238, "env_id": "Walker2d-v4"}
r,l,t
-0.066117,16,1.652738
-10.866828,22,1.701696
0.991475,17,1.738072
-1.383002,15,1.769326
6.580097,18,1.808738
0.976467,23,1.883847
9.327556,36,2.000664
1.770069,11,2.03589
-1.366543,15,2.081082
-6.80727,24,2.156634
11.701593,32,2.251537
6.296502,30,2.340603
-9.236428,17,2.389767
-0.342508,20,2.446635
-2.917904,18,2.499495
3.0795,13,2.536458
-11.087819,19,2.590341
6.039663,24,2.657156
-0.891425,15,2.703025
0.208578,15,2.74428
-1.85221,9,2.768718
7.741879,19,2.820514
3.698578,13,2.856276
2.475555,17,2.90665
0.852638,12,2.949048
-3.248741,18,3.0062
-0.754273,14,3.044538
-2.213494,19,9.886405
2.177267,12,9.911573
1.0561,22,9.958362
0.864991,15,9.98933
1.238017,39,10.070082
-0.273053,19,10.109792
-3.769264,24,10.169705
3.836874,17,10.211022
9.289408,27,10.268359
4.278239,15,10.299899
-4.205758,12,10.32484
-0.705264,24,10.374326
5.722396,16,10.407392
